regime,case_type,subset_seed,graph_id,candidate_label,true_obj,objective_gap_from_opt,normalized_gap_from_opt,rank_true_obj,edge_count,edge_jaccard_with_opt,edge_jaccard_with_2stage,edge_jaccard_with_spoplus,same_as_opt,same_as_2stage,same_as_spoplus
step2b_poly_d8,large_improvement,1,G-1103.json,y_spoplus,181.61549758911133,0.0,0.0,1,15,1.0,0.23076923076923078,1.0,True,False,True
step2b_poly_d8,large_improvement,1,G-1104.json,y_opt,182.55639791488647,0.0,0.0,1,13,1.0,0.5,0.5,True,False,False
step2b_poly_d8,large_improvement,1,G-1104.json,y_2stage,178.70089662075043,3.8555012941360474,0.02111950793383644,2,14,0.5,1.0,1.0,False,True,True
step2b_poly_d8,large_improvement,1,G-1104.json,y_spoplus,178.70089662075043,3.8555012941360474,0.02111950793383644,2,14,0.5,1.0,1.0,False,True,True
step2b_poly_d8,large_improvement,1,G-1107.json,y_opt,203.82029819488525,0.0,0.0,1,17,1.0,0.5217391304347826,0.5217391304347826,True,False,False
step2b_poly_d8,large_improvement,1,G-1107.json,y_2stage,194.19169807434082,9.628600120544434,0.04724063405764391,2,18,0.5217391304347826,1.0,1.0,False,True,True
step2b_poly_d8,large_improvement,1,G-1107.json,y_spoplus,194.19169807434082,9.628600120544434,0.04724063405764391,2,18,0.5217391304347826,1.0,1.0,False,True,True
step2b_poly_d8,large_improvement,1,G-1110.json,y_opt,234.20859843492508,0.0,0.0,1,20,1.0,0.6153846153846154,0.6666666666666666,True,False,False
step2b_poly_d8,large_improvement,1,G-1110.json,y_2stage,204.1103988289833,30.098199605941772,0.12851022467607895,3,22,0.6153846153846154,1.0,0.5555555555555556,False,True,False
step2b_poly_d8,large_improvement,1,G-1110.json,y_spoplus,227.25929909944534,6.949299335479736,0.029671409939334918,2,20,0.6666666666666666,0.5555555555555556,1.0,False,False,True
step2b_poly_d8,large_improvement,1,G-1116.json,y_opt,127.04439806938171,0.0,0.0,1,12,1.0,0.4444444444444444,0.3888888888888889,True,False,False
step2b_poly_d8,large_improvement,1,G-1116.json,y_2stage,102.6533989906311,24.39099907875061,0.19198799356292873,3,14,0.4444444444444444,1.0,0.2857142857142857,False,True,False
step2b_poly_d8,large_improvement,1,G-1116.json,y_spoplus,125.81589865684509,1.228499412536621,0.009669843229653549,2,13,0.3888888888888889,0.2857142857142857,1.0,False,False,True
step2b_poly_d8,large_improvement,1,G-1125.json,y_opt,125.02870154380798,0.0,0.0,1,11,1.0,1.0,1.0,True,True,True
step2b_poly_d8,large_improvement,1,G-1125.json,y_2stage,125.02870154380798,0.0,0.0,1,11,1.0,1.0,1.0,True,True,True
