regime,case_type,subset_seed,graph_id,method_label,method,selection_metric,num_edges,num_top_error_edges,mse_all_edges,mse_edges_in_opt,mse_edges_in_pred,mse_edges_in_symdiff,mse_edges_not_selected,top10_error_edges_in_opt_rate,top10_error_edges_in_pred_rate,top10_error_edges_in_symdiff_rate
step2b_poly_d8,large_improvement,1,G-317.json,2stage_val_mse,2stage,validation_mse_loss,259,10,15.38614739271284,44.659606853341515,37.52229015666107,15.146862518878164,13.014383915156616,0.4,0.3,0.1
step2b_poly_d8,large_improvement,1,G-317.json,spoplus_val_spoplus_loss,spoplus,validation_spoplus_loss,259,10,23.42678496672228,35.15740088907592,33.3465291048297,19.616341176636084,22.54502458243478,0.3,0.3,0.0
step2b_poly_d8,large_improvement,1,G-996.json,2stage_val_mse,2stage,validation_mse_loss,223,10,14.867818439079793,10.848384248145628,8.496055490278625,9.14681274930594,15.392641133645723,0.0,0.0,0.0
step2b_poly_d8,large_improvement,1,G-996.json,spoplus_val_spoplus_loss,spoplus,validation_spoplus_loss,223,10,22.752431895509503,14.605395708560373,14.605395708560373,nan,23.339958543606794,0.0,0.0,0.0
step2b_poly_d8,large_improvement,1,G-1471.json,2stage_val_mse,2stage,validation_mse_loss,163,10,13.866649402860745,12.985484500805997,12.985484500805997,nan,13.93041791550944,0.0,0.0,0.0
step2b_poly_d8,large_improvement,1,G-1471.json,spoplus_val_spoplus_loss,spoplus,validation_spoplus_loss,163,10,21.95264613046753,13.500941810207724,13.500941810207724,nan,22.564282627328435,0.0,0.0,0.0
step2b_poly_d8,large_improvement,1,G-1355.json,2stage_val_mse,2stage,validation_mse_loss,274,10,18.380134304771207,57.230245636449645,53.887715447809434,11.632973905910355,15.821610644765094,0.3,0.3,0.0
step2b_poly_d8,large_improvement,1,G-1355.json,spoplus_val_spoplus_loss,spoplus,validation_spoplus_loss,274,10,25.526724977664564,43.01287511941794,42.600879850316375,19.212150043141687,24.372997615247456,0.2,0.2,0.0
step2b_poly_d8,large_improvement,1,G-1138.json,2stage_val_mse,2stage,validation_mse_loss,190,10,15.745071313221807,35.87526569894473,38.90984745699527,12.929885684504129,13.912021392424428,0.3,0.3,0.0
step2b_poly_d8,large_improvement,1,G-1138.json,spoplus_val_spoplus_loss,spoplus,validation_spoplus_loss,190,10,23.440529401863156,31.228928911910135,31.228928911910135,nan,22.772952301001993,0.2,0.2,0.0
step2b_poly_d8,large_improvement,1,G-1604.json,2stage_val_mse,2stage,validation_mse_loss,207,10,15.83336135750556,69.6840276328367,58.75275452608105,15.015213055103748,11.557035106303772,0.7,0.6,0.1
step2b_poly_d8,large_improvement,1,G-1604.json,spoplus_val_spoplus_loss,spoplus,validation_spoplus_loss,207,10,22.006034525730364,41.72668482035346,40.84586911312281,15.612043102239575,20.38373480557147,0.5,0.5,0.0
step2b_poly_d8,large_improvement,1,G-1496.json,2stage_val_mse,2stage,validation_mse_loss,166,10,18.731328169576038,41.6985881155236,25.348480258030957,41.60386915828169,16.127132366458678,0.3,0.3,0.2
step2b_poly_d8,large_improvement,1,G-1496.json,spoplus_val_spoplus_loss,spoplus,validation_spoplus_loss,166,10,25.157098477657726,29.95706142302821,25.06767449156796,39.67589731881248,24.547677983594603,0.3,0.2,0.1
step2b_poly_d8,large_improvement,1,G-1426.json,2stage_val_mse,2stage,validation_mse_loss,257,10,13.336678771194777,52.278060099763835,51.080739949332155,11.541084417733536,10.529935492346539,0.2,0.2,0.0
step2b_poly_d8,large_improvement,1,G-1426.json,spoplus_val_spoplus_loss,spoplus,validation_spoplus_loss,257,10,22.51006108637044,42.949261476058695,42.58395480278628,23.866588882527164,20.9511955179794,0.2,0.2,0.0
step2b_poly_d8,large_improvement,1,G-1740.json,2stage_val_mse,2stage,validation_mse_loss,252,10,14.852217649561826,40.844242884340815,40.844242884340815,nan,13.438425481979708,0.3,0.3,0.0
step2b_poly_d8,large_improvement,1,G-1740.json,spoplus_val_spoplus_loss,spoplus,validation_spoplus_loss,252,10,22.989567213390806,30.734873489385755,30.734873489385755,nan,22.568274403399453,0.2,0.2,0.0
step2b_poly_d8,large_improvement,1,G-584.json,2stage_val_mse,2stage,validation_mse_loss,274,10,17.16460792394401,59.48020794599462,27.19966616180822,47.98707139379988,13.743321615633002,0.3,0.1,0.2
step2b_poly_d8,large_improvement,1,G-584.json,spoplus_val_spoplus_loss,spoplus,validation_spoplus_loss,274,10,24.34913449725866,48.06386973268999,27.717920027288276,37.340925119215775,22.70588183529057,0.3,0.1,0.2
step2b_poly_d8,large_improvement,1,G-931.json,2stage_val_mse,2stage,validation_mse_loss,291,10,14.83757519103746,77.16246581242105,73.91264958361454,12.44885753286757,11.653014406285612,0.4,0.4,0.0
step2b_poly_d8,large_improvement,1,G-931.json,spoplus_val_spoplus_loss,spoplus,validation_spoplus_loss,291,10,21.921248004677633,53.531193334697036,52.76869460693805,20.567541983823286,20.282721067238334,0.4,0.4,0.0
step2b_poly_d8,large_improvement,1,G-1607.json,2stage_val_mse,2stage,validation_mse_loss,241,10,16.15289451981025,19.056990960253575,19.056990960253575,nan,16.027176059185,0.0,0.0,0.0
step2b_poly_d8,large_improvement,1,G-1607.json,spoplus_val_spoplus_loss,spoplus,validation_spoplus_loss,241,10,24.53752299977045,21.523833139471463,21.523833139471463,nan,24.667985764285557,0.0,0.0,0.0
step2b_poly_d8,large_improvement,1,G-1605.json,2stage_val_mse,2stage,validation_mse_loss,224,10,14.949252497919579,31.22229111962593,26.17738798178878,32.28814133111742,13.707732979849231,0.3,0.2,0.1
step2b_poly_d8,large_improvement,1,G-1605.json,spoplus_val_spoplus_loss,spoplus,validation_spoplus_loss,224,10,21.36361702175656,23.93863821121051,23.052980668367496,29.268154890929495,21.095395317355656,0.2,0.1,0.1
step2b_poly_d8,large_improvement,1,G-543.json,2stage_val_mse,2stage,validation_mse_loss,156,10,14.815943221809029,24.854682938840053,22.15060619150484,12.40117230371131,14.014474404700119,0.2,0.2,0.0
step2b_poly_d8,large_improvement,1,G-543.json,spoplus_val_spoplus_loss,spoplus,validation_spoplus_loss,156,10,21.814025365188847,20.97826347538122,23.59681098167727,20.30425015363386,21.800262039147587,0.1,0.1,0.0
step2b_poly_d8,large_improvement,1,G-799.json,2stage_val_mse,2stage,validation_mse_loss,300,10,19.074316002173873,57.16752741306985,56.5204325085215,23.660066748733556,15.62142471269884,0.2,0.3,0.1
step2b_poly_d8,large_improvement,1,G-799.json,spoplus_val_spoplus_loss,spoplus,validation_spoplus_loss,300,10,26.716895232155064,45.01941474343686,46.98331353844489,19.527428247671484,25.329233314763524,0.3,0.3,0.0
step2b_poly_d8,large_improvement,1,G-4.json,2stage_val_mse,2stage,validation_mse_loss,235,10,19.215431378370567,86.70759678273355,86.70759678273355,nan,15.263187458295262,0.4,0.4,0.0
step2b_poly_d8,large_improvement,1,G-4.json,spoplus_val_spoplus_loss,spoplus,validation_spoplus_loss,235,10,24.78237326493513,57.20207733226852,57.20207733226852,nan,22.883922125857048,0.4,0.4,0.0
step2b_poly_d8,large_improvement,1,G-776.json,2stage_val_mse,2stage,validation_mse_loss,197,10,13.614712004157411,20.312278087433146,20.312278087433146,nan,13.022661963646852,0.2,0.2,0.0
step2b_poly_d8,large_improvement,1,G-776.json,spoplus_val_spoplus_loss,spoplus,validation_spoplus_loss,197,10,22.766198512734338,17.456804777418967,17.456804777418967,nan,23.2355371854694,0.2,0.2,0.0
step2b_poly_d8,large_improvement,1,G-337.json,2stage_val_mse,2stage,validation_mse_loss,258,10,17.064255835741662,69.82571420015088,56.26375653115381,45.51005858140975,11.759674839997073,0.6,0.5,0.3
step2b_poly_d8,large_improvement,1,G-337.json,spoplus_val_spoplus_loss,spoplus,validation_spoplus_loss,258,10,23.60218958256804,48.57918270064816,35.43688632124391,35.980564304077305,21.572311072358403,0.5,0.4,0.1
step2b_poly_d8,large_improvement,1,G-1709.json,2stage_val_mse,2stage,validation_mse_loss,210,10,14.29725077380185,20.336863587622528,20.28480256385431,6.521245289949017,13.90797283619175,0.1,0.1,0.0
step2b_poly_d8,large_improvement,1,G-1709.json,spoplus_val_spoplus_loss,spoplus,validation_spoplus_loss,210,10,21.861332640869737,18.375298761584045,20.52719860396218,26.881106540647192,21.999882030468395,0.1,0.1,0.0
step2b_poly_d8,large_improvement,1,G-1868.json,2stage_val_mse,2stage,validation_mse_loss,210,10,11.243287586633555,24.04009936867777,25.501633506295548,13.538478705294665,10.109938090611221,0.4,0.4,0.0
step2b_poly_d8,large_improvement,1,G-1868.json,spoplus_val_spoplus_loss,spoplus,validation_spoplus_loss,210,10,20.14794077143732,20.612116029977095,20.612116029977095,nan,20.10965827588765,0.0,0.0,0.0
step2b_poly_d8,large_improvement,1,G-437.json,2stage_val_mse,2stage,validation_mse_loss,239,10,13.633031840325765,39.63210115235442,39.63210115235442,nan,11.515460584142433,0.4,0.4,0.0
step2b_poly_d8,large_improvement,1,G-437.json,spoplus_val_spoplus_loss,spoplus,validation_spoplus_loss,239,10,20.383274561749356,26.38935329206241,26.38935329206241,nan,19.894091678737436,0.2,0.2,0.0
step2b_poly_d8,large_improvement,1,G-985.json,2stage_val_mse,2stage,validation_mse_loss,163,10,18.612341741019495,31.42006258895335,32.75950606563419,9.37826151082867,17.399840957386733,0.3,0.3,0.0
step2b_poly_d8,large_improvement,1,G-985.json,spoplus_val_spoplus_loss,spoplus,validation_spoplus_loss,163,10,23.84996810058866,23.442543251581373,23.442543251581373,nan,23.888249630025584,0.1,0.1,0.0
step2b_poly_d8,large_improvement,1,G-1699.json,2stage_val_mse,2stage,validation_mse_loss,281,10,14.087668564246588,57.57688389061223,53.32108671916674,52.06601636365263,9.821710305338135,0.5,0.4,0.3
