regime,case_type,subset_seed,graph_id,optimal_obj,obj_2stage,obj_spoplus,abs_obj_2stage_minus_spoplus,gap_2stage,gap_spoplus,normalized_gap_2stage,normalized_gap_spoplus,normalized_gap_reduction,edge_jaccard_2stage_with_opt,edge_jaccard_spoplus_with_opt,edge_jaccard_2stage_spoplus,same_2stage_spoplus,two_stage_different_solution_near_tie,spoplus_different_solution_near_tie,any_different_solution_near_tie,observed_candidate_count,observed_unique_solution_count
step2b_poly_d8,easy_low_gap,41,G-161.json,130.3761011660099,127.3919006884098,127.3919006884098,0.0,2.9842004776000977,2.9842004776000977,0.022889167960141562,0.022889167960141562,0.0,0.5,0.5,1.0,True,False,False,False,3,2
step2b_poly_d8,easy_low_gap,41,G-1622.json,295.21690237522125,282.7474012374878,282.7474012374878,0.0,12.46950113773346,12.46950113773346,0.04223843905062882,0.04223843905062882,0.0,0.7142857142857143,0.7142857142857143,1.0,True,False,False,False,3,2
step2b_poly_d8,easy_low_gap,41,G-163.json,262.0758955255151,262.0758955255151,235.5052975192666,26.570598006248474,0.0,26.570598006248474,0.0,0.10138512720854269,-0.10138512720854269,1.0,0.36666666666666664,0.36666666666666664,False,False,False,False,3,2
step2b_poly_d8,easy_low_gap,41,G-1639.json,186.7813003063202,166.369300365448,166.369300365448,0.0,20.411999940872192,20.411999940872192,0.10928288810115014,0.10928288810115014,0.0,0.55,0.55,1.0,True,False,False,False,3,2
step2b_poly_d8,easy_low_gap,41,G-1648.json,188.50029812008142,184.42019877582788,184.42019877582788,0.0,4.08009934425354,4.08009934425354,0.021645055126823864,0.021645055126823864,0.0,0.5263157894736842,0.5263157894736842,1.0,True,False,False,False,3,2
step2b_poly_d8,easy_low_gap,41,G-1650.json,192.05240190029144,192.05240190029144,192.05240190029144,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,True,False,False,False,3,1
step2b_poly_d8,easy_low_gap,41,G-1652.json,241.2889011837542,186.42140072584152,175.4385005235672,10.982900202274323,54.86750045791268,65.850400660187,0.22739338688396946,0.27291102216825774,-0.04551763528428829,0.07894736842105263,0.05128205128205128,0.5333333333333333,False,False,False,False,3,3
step2b_poly_d8,easy_low_gap,41,G-1653.json,203.7116996049881,185.68519926071167,185.68519926071167,0.0,18.026500344276428,18.026500344276428,0.08849025548921659,0.08849025548921659,0.0,0.3181818181818182,0.3181818181818182,1.0,True,False,False,False,3,2
step2b_poly_d8,easy_low_gap,41,G-1657.json,133.34660148620605,121.60320150107145,133.34660148620605,11.743399985134602,11.743399985134602,0.0,0.08806673626595068,0.0,0.08806673626595068,0.3684210526315789,1.0,0.3684210526315789,False,False,False,False,3,2
step2b_poly_d8,easy_low_gap,41,G-1671.json,204.14739801734686,185.28109914064407,185.28109914064407,0.0,18.866298876702785,18.866298876702785,0.09241508370832754,0.09241508370832754,0.0,0.5454545454545454,0.5454545454545454,1.0,True,False,False,False,3,2
step2b_poly_d8,easy_low_gap,41,G-1683.json,328.3302994221449,306.9520985484123,306.9520985484123,0.0,21.378200873732567,21.378200873732567,0.0651118733522087,0.0651118733522087,0.0,0.5333333333333333,0.5333333333333333,1.0,True,False,False,False,3,2
step2b_poly_d8,easy_low_gap,41,G-1686.json,180.0483984798193,168.42029929161072,155.82279789447784,12.597501397132874,11.62809918820858,24.225600585341454,0.06458318588958363,0.13455049192188304,-0.0699673060322994,0.45,0.36363636363636365,0.34782608695652173,False,False,False,False,3,3
step2b_poly_d8,easy_low_gap,41,G-1692.json,168.52730131149292,168.52730131149292,168.52730131149292,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,True,False,False,False,3,1
step2b_poly_d8,easy_low_gap,41,G-1698.json,163.19190050661564,163.19190050661564,163.19190050661564,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,True,False,False,False,3,1
step2b_poly_d8,easy_low_gap,41,G-1699.json,239.79029995203018,224.11359798908234,226.51049733161926,2.3968993425369263,15.676701962947845,13.27980262041092,0.06537671442931002,0.055380899990584063,0.009995814438725957,0.2962962962962963,0.34615384615384615,0.7142857142857143,False,False,False,False,3,3
step2b_poly_d8,easy_low_gap,41,G-1701.json,283.97850155830383,240.4303988814354,262.0463000535965,21.615901172161102,43.54810267686844,21.932201504707336,0.1533499981081286,0.0772319079940183,0.0761180901141103,0.21621621621621623,0.3333333333333333,0.1951219512195122,False,False,False,False,3,3
step2b_poly_d8,easy_low_gap,41,G-1703.json,295.0440002679825,287.52970176935196,287.52970176935196,0.0,7.514298498630524,7.514298498630524,0.02546839960066963,0.02546839960066963,0.0,0.5,0.5,1.0,True,False,False,False,3,2
step2b_poly_d8,easy_low_gap,41,G-1708.json,116.62030278518796,105.21440168097615,105.21440168097615,0.0,11.405901104211807,11.405901104211807,0.09780373427021041,0.09780373427021041,0.0,0.4444444444444444,0.4444444444444444,1.0,True,False,False,False,3,2
step2b_poly_d8,easy_low_gap,41,G-1709.json,171.31919944286346,167.71639955043793,167.71639955043793,0.0,3.602799892425537,3.602799892425537,0.021029749754382168,0.021029749754382168,0.0,0.8125,0.8125,1.0,True,False,False,False,3,2
step2b_poly_d8,easy_low_gap,41,G-1712.json,186.61230272054672,177.40750271081924,177.40750271081924,0.0,9.204800009727478,9.204800009727478,0.04932579404189877,0.04932579404189877,0.0,0.5217391304347826,0.5217391304347826,1.0,True,False,False,False,3,2
step2b_poly_d8,easy_low_gap,41,G-1723.json,275.5345960855484,265.3956967368722,265.3956967368722,0.0,10.138899348676205,10.138899348676205,0.03679719168728803,0.03679719168728803,0.0,0.4838709677419355,0.4838709677419355,1.0,True,False,False,False,3,2
step2b_poly_d8,easy_low_gap,41,G-1726.json,132.34760062396526,116.46619956195354,128.10560040175915,11.639400839805603,15.881401062011719,4.242000222206116,0.11999765002929677,0.03205196166892904,0.08794568836036773,0.5333333333333333,0.7692307692307693,0.5,False,False,False,False,3,3
step2b_poly_d8,easy_low_gap,41,G-1735.json,159.4363998696208,159.4363998696208,159.4363998696208,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,True,False,False,False,3,1
step2b_poly_d8,easy_low_gap,41,G-1738.json,234.89230208098888,183.71279937028885,207.98589925467968,24.27309988439083,51.179502710700035,26.906402826309204,0.21788497220669195,0.11454782718642502,0.10333714502026693,0.4166666666666667,0.6190476190476191,0.7142857142857143,False,False,False,False,3,3
step2b_poly_d8,easy_low_gap,41,G-1740.json,152.995399415493,152.995399415493,152.995399415493,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,True,False,False,False,3,1
step2b_poly_d8,easy_low_gap,41,G-175.json,243.83220192790031,234.69900080561638,234.69900080561638,0.0,9.133201122283936,9.133201122283936,0.03745691114640842,0.03745691114640842,0.0,0.75,0.75,1.0,True,False,False,False,3,2
step2b_poly_d8,easy_low_gap,41,G-1751.json,234.3393988609314,229.6544005870819,229.6544005870819,0.0,4.684998273849487,4.684998273849487,0.01999236277212525,0.01999236277212525,0.0,0.46153846153846156,0.46153846153846156,1.0,True,False,False,False,3,2
step2b_poly_d8,easy_low_gap,41,G-1754.json,294.432001799345,286.21780176460743,294.432001799345,8.214200034737587,8.214200034737587,0.0,0.02789846207107492,0.0,0.02789846207107492,0.39285714285714285,1.0,0.39285714285714285,False,False,False,False,3,2
step2b_poly_d8,easy_low_gap,41,G-1762.json,286.36199629306793,262.8496972322464,265.88829720020294,3.038599967956543,23.512299060821533,20.47369909286499,0.08210691140969881,0.07149586662274958,0.010611044786949228,0.6785714285714286,0.7407407407407407,0.7777777777777778,False,False,False,False,3,3
step2b_poly_d8,easy_low_gap,41,G-1763.json,190.5573014765978,190.5573014765978,190.5573014765978,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,True,False,False,False,3,1
step2b_poly_d8,easy_low_gap,41,G-1764.json,350.8677020072937,297.21260130405426,297.21260130405426,0.0,53.65510070323944,53.65510070323944,0.15292117341131375,0.15292117341131375,0.0,0.28205128205128205,0.28205128205128205,1.0,True,False,False,False,3,2
step2b_poly_d8,easy_low_gap,41,G-1774.json,215.28830099105835,207.06230175495148,207.06230175495148,0.0,8.225999236106873,8.225999236106873,0.03820922548137122,0.03820922548137122,0.0,0.5714285714285714,0.5714285714285714,1.0,True,False,False,False,3,2
step2b_poly_d8,easy_low_gap,41,G-1775.json,188.50180292129517,151.74100011587143,151.74100011587143,0.0,36.76080280542374,36.76080280542374,0.19501565627240922,0.19501565627240922,0.0,0.3888888888888889,0.3888888888888889,0.875,False,False,False,False,3,3
step2b_poly_d8,easy_low_gap,41,G-178.json,271.27550184726715,247.39850109815598,266.2167031764984,18.818202078342438,23.877000749111176,5.058798670768738,0.08801753415413946,0.01864819578731544,0.06936933836682402,0.4583333333333333,0.65,0.5,False,False,False,False,3,3
step2b_poly_d8,easy_low_gap,41,G-1780.json,291.0917977690697,291.0917977690697,290.30149787664413,0.7902998924255371,0.0,0.7902998924255371,0.0,0.002714950742273359,-0.002714950742273359,1.0,0.84,0.84,False,False,True,True,3,2
step2b_poly_d8,easy_low_gap,41,G-1782.json,215.51990050077438,205.67239969968796,205.335999250412,0.33640044927597046,9.847500801086426,10.183901250362396,0.04569183995612206,0.04725271878212728,-0.0015608788260052173,0.6086956521739131,0.48,0.8181818181818182,False,False,False,False,3,3
step2b_poly_d8,easy_low_gap,41,G-1789.json,269.4965965747833,269.4965965747833,269.4965965747833,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,True,False,False,False,3,1
step2b_poly_d8,easy_low_gap,41,G-1793.json,256.76290011405945,240.72440004348755,247.0069010257721,6.282500982284546,16.0385000705719,9.755999088287354,0.06246424254977958,0.03799613995602768,0.0244681025937519,0.3,0.6521739130434783,0.3225806451612903,False,False,False,False,3,3
step2b_poly_d8,easy_low_gap,41,G-1794.json,181.99810296297073,169.88810229301453,169.88810229301453,0.0,12.110000669956207,12.110000669956207,0.06653915877548221,0.06653915877548221,0.0,0.3333333333333333,0.3333333333333333,1.0,True,False,False,False,3,2
step2b_poly_d8,easy_low_gap,41,G-1811.json,270.77570247650146,265.9073021411896,244.75200152397156,21.155300617218018,4.86840033531189,26.023700952529907,0.01797945787146984,0.09610796210451046,-0.07812850423304062,0.85,0.52,0.4444444444444444,False,False,False,False,3,3
step2b_poly_d8,easy_low_gap,41,G-1813.json,234.09150025248528,230.54969996213913,233.83169981837273,3.281999856233597,3.5418002903461456,0.25980043411254883,0.015129982449217157,0.0011098242944798282,0.014020158154737328,0.391304347826087,0.7222222222222222,0.5714285714285714,False,False,True,True,3,3
