regime,max_cycle,max_chain,graph_id,solution_rank,cut_attempt,solver_status,solver_status_name,solver_obj_true,true_obj,oracle_obj,gap_to_oracle,normalized_gap_to_oracle,num_vertices,num_edges,density,in_degree_mean,out_degree_mean,in_degree_gini,out_degree_gini,reciprocal_edge_count,num_2cycles,num_3cycles,largest_scc_fraction,number_of_sccs,edge_count,num_cycle_candidates,num_2cycle_candidates,num_3cycle_candidates,num_chain_candidates,same_solution_as_oracle,edge_jaccard_with_oracle,edge_hamming_with_oracle,edge_overlap_count_with_oracle,solution_edge_signature
step2c_poly_d8_mult_eps050,3,4,G-1110.json,11,11,2,OPTIMAL,220.8496989160776,220.8496989160776,230.2117985635996,9.362099647521973,0.04066733202162477,53,258,0.09361393323657474,4.867924528301887,4.867924528301887,0.7019160450489981,0.42079859587538393,20,10,21,0.4528301886792453,30,19,31,10,21,269,False,0.95,0.003875968992248062,19,8|30|51|69|87|89|93|122|134|141|151|164|176|180|201|236|241|244|254
step2c_poly_d8_mult_eps050,3,4,G-1110.json,12,12,2,OPTIMAL,220.82719887793064,220.82719887793064,230.2117985635996,9.384599685668945,0.040765068272708614,53,258,0.09361393323657474,4.867924528301887,4.867924528301887,0.7019160450489981,0.42079859587538393,20,10,21,0.4528301886792453,30,19,31,10,21,269,False,0.95,0.003875968992248062,19,8|30|69|87|89|93|122|130|134|141|151|164|176|180|201|236|241|244|254
step2c_poly_d8_mult_eps050,3,4,G-1110.json,13,13,2,OPTIMAL,220.59339870512486,220.59339870512486,230.2117985635996,9.618399858474731,0.04178065554609582,53,258,0.09361393323657474,4.867924528301887,4.867924528301887,0.7019160450489981,0.42079859587538393,20,10,21,0.4528301886792453,30,20,31,10,21,269,False,0.7391304347826086,0.023255813953488372,17,8|30|51|69|79|89|93|122|130|134|141|151|164|175|182|201|236|241|244|254
step2c_poly_d8_mult_eps050,3,4,G-1110.json,14,14,2,OPTIMAL,220.4864987283945,220.4864987283945,230.2117985635996,9.725299835205078,0.04224501044622206,53,258,0.09361393323657474,4.867924528301887,4.867924528301887,0.7019160450489981,0.42079859587538393,20,10,21,0.4528301886792453,30,20,31,10,21,269,False,0.9047619047619048,0.007751937984496124,19,8|30|51|69|79|87|89|93|122|130|134|141|151|164|180|201|236|241|244|254
step2c_poly_d8_mult_eps050,3,4,G-1110.json,15,15,2,OPTIMAL,220.42509926855564,220.42509926855564,230.2117985635996,9.786699295043945,0.04251171901729314,53,258,0.09361393323657474,4.867924528301887,4.867924528301887,0.7019160450489981,0.42079859587538393,20,10,21,0.4528301886792453,30,20,31,10,21,269,False,0.8181818181818182,0.015503875968992248,18,8|30|54|69|87|89|93|122|131|134|141|151|164|176|180|201|236|241|244|254
step2c_poly_d8_mult_eps050,3,4,G-1110.json,16,16,2,OPTIMAL,219.8436993509531,219.8436993509531,230.2117985635996,10.368099212646484,0.045037219105592885,53,258,0.09361393323657474,4.867924528301887,4.867924528301887,0.7019160450489981,0.42079859587538393,20,10,21,0.4528301886792453,30,20,31,10,21,269,False,0.8181818181818182,0.015503875968992248,18,8|30|50|69|87|89|93|122|131|134|141|151|164|176|180|201|236|241|244|254
step2c_poly_d8_mult_eps050,3,4,G-1110.json,17,17,2,OPTIMAL,219.70459808409214,219.70459808409214,230.2117985635996,10.507200479507446,0.04564145080756592,53,258,0.09361393323657474,4.867924528301887,4.867924528301887,0.7019160450489981,0.42079859587538393,20,10,21,0.4528301886792453,30,20,31,10,21,269,False,0.8181818181818182,0.015503875968992248,18,8|30|51|69|78|89|93|122|130|134|141|151|164|176|182|201|236|241|244|254
step2c_poly_d8_mult_eps050,3,4,G-1110.json,18,18,2,OPTIMAL,219.32699885964394,219.32699885964394,230.2117985635996,10.88479970395565,0.047281676142681604,53,258,0.09361393323657474,4.867924528301887,4.867924528301887,0.7019160450489981,0.42079859587538393,20,10,21,0.4528301886792453,30,18,31,10,21,269,False,0.7272727272727273,0.023255813953488372,16,8|30|69|79|87|89|93|122|130|134|141|151|174|180|201|236|241|254
step2c_poly_d8_mult_eps050,3,4,G-1110.json,19,19,2,OPTIMAL,218.35849884152412,218.35849884152412,230.2117985635996,11.853299722075462,0.051488671718749095,53,258,0.09361393323657474,4.867924528301887,4.867924528301887,0.7019160450489981,0.42079859587538393,20,10,21,0.4528301886792453,30,17,31,10,21,269,False,0.6818181818181818,0.027131782945736434,15,30|69|79|87|89|93|122|130|134|141|151|174|180|201|236|241|254
step2c_poly_d8_mult_eps050,3,4,G-1110.json,20,20,2,OPTIMAL,218.137898594141,218.137898594141,230.2117985635996,12.07389996945858,0.052446920812664305,53,258,0.09361393323657474,4.867924528301887,4.867924528301887,0.7019160450489981,0.42079859587538393,20,10,21,0.4528301886792453,30,19,31,10,21,269,False,0.625,0.03488372093023256,15,8|30|69|79|87|89|93|122|130|134|141|151|174|183|201|236|241|245|254
step2c_poly_d8_mult_eps050,3,4,G-1110.json,21,21,2,OPTIMAL,217.80409921705723,217.80409921705723,230.2117985635996,12.407699346542358,0.053896887231262576,53,258,0.09361393323657474,4.867924528301887,4.867924528301887,0.7019160450489981,0.42079859587538393,20,10,21,0.4528301886792453,30,20,31,10,21,269,False,0.8181818181818182,0.015503875968992248,18,8|30|56|69|87|89|93|122|131|134|141|151|164|176|180|201|236|241|244|254
