regime,graph_id,subset_seed,comparison,left_role,right_role,edge_id,src,dst,edge_in_left,edge_in_right,edge_in_2stage_rank1,edge_in_best_2stage_near_oracle,edge_in_spoplus_rank1,edge_in_oracle,edge_in_oracle_vs_left_symdiff,edge_in_oracle_vs_right_symdiff,true_weight,pred_2stage,pred_spoplus,error_2stage,error_spoplus,delta_prediction_spoplus_minus_2stage,signed_true_value_delta_right_minus_left,signed_pred_2stage_delta_right_minus_left,signed_pred_spoplus_delta_right_minus_left
step2c_poly_d8_mult_eps050,G-1169.json,4,two_stage_rank1_vs_best_2stage_near_oracle,two_stage_rank1,best_2stage_near_oracle_top20,8,0,45,True,False,True,False,False,False,True,False,15.999500274658203,14.004396479281711,15.979321768548632,-1.995103795376492,-0.020178506109571615,1.9749252892669205,-15.999500274658203,-14.004396479281711,-15.979321768548632
step2c_poly_d8_mult_eps050,G-1169.json,4,two_stage_rank1_vs_best_2stage_near_oracle,two_stage_rank1,best_2stage_near_oracle_top20,21,3,6,False,True,False,True,True,True,True,False,9.309700012207031,13.712712806549995,15.574909352425887,4.403012794342963,6.265209340218856,1.862196545875893,9.309700012207031,13.712712806549995,15.574909352425887
step2c_poly_d8_mult_eps050,G-1169.json,4,two_stage_rank1_vs_best_2stage_near_oracle,two_stage_rank1,best_2stage_near_oracle_top20,24,4,2,True,False,True,False,False,False,True,False,17.428300857543945,12.170831685107286,15.589976539845987,-5.257469172436659,-1.8383243176979587,3.4191448547387004,-17.428300857543945,-12.170831685107286,-15.589976539845987
step2c_poly_d8_mult_eps050,G-1169.json,4,two_stage_rank1_vs_best_2stage_near_oracle,two_stage_rank1,best_2stage_near_oracle_top20,33,6,3,False,True,False,True,True,True,True,False,1.2585999965667725,3.622536788097132,5.894030621069296,2.3639367915303597,4.635430624502524,2.271493832972164,1.2585999965667725,3.622536788097132,5.894030621069296
step2c_poly_d8_mult_eps050,G-1169.json,4,two_stage_rank1_vs_best_2stage_near_oracle,two_stage_rank1,best_2stage_near_oracle_top20,34,6,4,True,False,True,False,False,False,True,False,18.63719940185547,12.734309129191633,17.162675136260738,-5.902890272663836,-1.4745242655947308,4.428366007069105,-18.63719940185547,-12.734309129191633,-17.162675136260738
step2c_poly_d8_mult_eps050,G-1169.json,4,two_stage_rank1_vs_best_2stage_near_oracle,two_stage_rank1,best_2stage_near_oracle_top20,60,9,11,True,False,True,False,False,False,True,False,3.2748000621795654,5.836308869860177,9.495937572256853,2.561508807680611,6.221137510077288,3.6596287023966765,-3.2748000621795654,-5.836308869860177,-9.495937572256853
step2c_poly_d8_mult_eps050,G-1169.json,4,two_stage_rank1_vs_best_2stage_near_oracle,two_stage_rank1,best_2stage_near_oracle_top20,61,9,18,False,True,False,True,True,True,True,False,52.295101165771484,16.983719067268375,21.24783219844878,-35.31138209850311,-31.047268967322704,4.264113131180405,52.295101165771484,16.983719067268375,21.24783219844878
step2c_poly_d8_mult_eps050,G-1169.json,4,two_stage_rank1_vs_best_2stage_near_oracle,two_stage_rank1,best_2stage_near_oracle_top20,77,11,39,True,False,True,False,False,False,True,False,12.09280014038086,10.698943005018226,13.634529046564314,-1.3938571353626337,1.5417289061834545,2.935586041546088,-12.09280014038086,-10.698943005018226,-13.634529046564314
step2c_poly_d8_mult_eps050,G-1169.json,4,two_stage_rank1_vs_best_2stage_near_oracle,two_stage_rank1,best_2stage_near_oracle_top20,108,15,30,False,True,False,True,True,True,True,False,15.07699966430664,11.336648535388429,16.519686446593862,-3.7403511289182116,1.4426867822872218,5.1830379112054334,15.07699966430664,11.336648535388429,16.519686446593862
step2c_poly_d8_mult_eps050,G-1169.json,4,two_stage_rank1_vs_best_2stage_near_oracle,two_stage_rank1,best_2stage_near_oracle_top20,143,20,2,False,True,False,True,False,True,True,False,30.591100692749023,14.082726001084472,18.70071476054386,-16.50837469166455,-11.890385932205163,4.617988759459388,30.591100692749023,14.082726001084472,18.70071476054386
step2c_poly_d8_mult_eps050,G-1169.json,4,two_stage_rank1_vs_best_2stage_near_oracle,two_stage_rank1,best_2stage_near_oracle_top20,144,20,26,True,False,True,False,False,False,True,False,0.5489000082015991,2.501250048632411,3.6904195471131422,1.952350040430812,3.141519538911543,1.189169498480731,-0.5489000082015991,-2.501250048632411,-3.6904195471131422
step2c_poly_d8_mult_eps050,G-1169.json,4,two_stage_rank1_vs_best_2stage_near_oracle,two_stage_rank1,best_2stage_near_oracle_top20,159,23,0,True,False,True,False,False,False,True,False,17.475799560546875,13.480877005726517,14.987192695624374,-3.9949225548203575,-2.4886068649225006,1.506315689897857,-17.475799560546875,-13.480877005726517,-14.987192695624374
step2c_poly_d8_mult_eps050,G-1169.json,4,two_stage_rank1_vs_best_2stage_near_oracle,two_stage_rank1,best_2stage_near_oracle_top20,162,23,15,False,True,False,True,True,True,True,False,5.839099884033203,6.5406909231383175,10.641998919264962,0.7015910391051143,4.802899035231759,4.1013079961266445,5.839099884033203,6.5406909231383175,10.641998919264962
step2c_poly_d8_mult_eps050,G-1169.json,4,two_stage_rank1_vs_best_2stage_near_oracle,two_stage_rank1,best_2stage_near_oracle_top20,183,26,35,True,False,True,False,True,False,True,False,0.7577999830245972,1.9118943159771855,3.110738220697875,1.1540943329525883,2.352938237673278,1.1988439047206896,-0.7577999830245972,-1.9118943159771855,-3.110738220697875
step2c_poly_d8_mult_eps050,G-1169.json,4,two_stage_rank1_vs_best_2stage_near_oracle,two_stage_rank1,best_2stage_near_oracle_top20,277,42,39,False,True,False,True,True,True,True,False,15.315099716186523,11.70520342386003,15.271760099927626,-3.609896292326493,-0.043339616258897706,3.566556676067595,15.315099716186523,11.70520342386003,15.271760099927626
step2c_poly_d8_mult_eps050,G-1169.json,4,two_stage_rank1_vs_best_2stage_near_oracle,two_stage_rank1,best_2stage_near_oracle_top20,308,50,30,True,False,True,False,False,False,True,False,4.713600158691406,7.412233981505438,10.134487095034887,2.698633822814032,5.42088693634348,2.7222531135294483,-4.713600158691406,-7.412233981505438,-10.134487095034887
step2c_poly_d8_mult_eps050,G-1169.json,4,two_stage_rank1_vs_best_2stage_near_oracle,two_stage_rank1,best_2stage_near_oracle_top20,309,50,35,False,True,False,True,False,True,True,False,6.889800071716309,6.8425692887019816,11.133168625620165,-0.04723078301432704,4.243368553903856,4.290599336918183,6.889800071716309,6.8425692887019816,11.133168625620165
step2c_poly_d8_mult_eps050,G-1169.json,4,two_stage_rank1_vs_best_2stage_near_oracle,two_stage_rank1,best_2stage_near_oracle_top20,317,52,6,True,False,True,False,False,False,True,False,4.258200168609619,9.58704610892086,8.862263692607696,5.328845940311242,4.604063523998077,-0.7247824163131646,-4.258200168609619,-9.58704610892086,-8.862263692607696
step2c_poly_d8_mult_eps050,G-1169.json,4,two_stage_rank1_vs_best_2stage_near_oracle,two_stage_rank1,best_2stage_near_oracle_top20,319,52,42,False,True,False,True,True,True,True,False,1.3284000158309937,4.3269188413752735,7.040091968077406,2.99851882554428,5.7116919522464125,2.7131731267021326,1.3284000158309937,4.3269188413752735,7.040091968077406
step2c_poly_d8_mult_eps050,G-1169.json,5,two_stage_rank1_vs_spoplus_rank1,two_stage_rank1,spoplus_rank1,8,0,45,True,False,True,False,False,False,True,False,15.999500274658203,13.921523386815593,15.03328157521622,-2.0779768878426097,-0.966218699441983,1.1117581884006267,-15.999500274658203,-13.921523386815593,-15.03328157521622
step2c_poly_d8_mult_eps050,G-1169.json,5,two_stage_rank1_vs_spoplus_rank1,two_stage_rank1,spoplus_rank1,21,3,6,False,True,False,True,True,True,True,False,9.309700012207031,13.631050656131016,14.646221776859033,4.321350643923985,5.336521764652002,1.0151711207280165,9.309700012207031,13.631050656131016,14.646221776859033
