regime,graph_id,subset_seed,solution_role,found,rank_under_2stage,rank_under_spoplus,rank_under_true_oracle_top50,true_gap_pct,true_obj,predicted_score_under_2stage,predicted_score_under_spoplus,two_stage_margin_vs_rank1,spoplus_margin_vs_rank1,jaccard_to_oracle,solution_edge_signature
step2c_poly_d8_mult_eps050,G-1169.json,9,spoplus_rank1,True,12,1,16,4.957100550623041,259.8182989358902,218.07880699373686,271.1723421769319,3.1349023490008108,0.0,0.7727272727272727,21|29|33|48|61|71|108|126|162|183|186|209|227|237|262|277|287|313|316|319
step2c_poly_d8_mult_eps050,G-1169.json,10,two_stage_rank1,True,1,,,15.626103356716605,230.65249931812286,221.42841100156176,263.42093063666874,0.0,11.321233025216316,0.3448275862068966,8|24|29|34|48|60|71|77|126|144|159|183|186|209|227|237|262|308|316|317
step2c_poly_d8_mult_eps050,G-1169.json,10,best_2stage_near_oracle_top20,True,3,5,1,0.0,273.3694999217987,220.37796050843528,274.1303227424212,1.0504504931264762,0.611840919463873,1.0,21|29|33|48|61|71|108|126|143|162|186|209|227|237|262|277|309|316|319
step2c_poly_d8_mult_eps050,G-1169.json,10,spoplus_rank1,True,13,1,16,4.957100550623041,259.8182989358902,218.20776091193153,274.74216366188506,3.220650089630226,0.0,0.7727272727272727,21|29|33|48|61|71|108|126|162|183|186|209|227|237|262|277|287|313|316|319
step2c_poly_d8_mult_eps050,G-1169.json,11,two_stage_rank1,True,1,,,15.626103356716605,230.65249931812286,218.63448693813888,233.30941529882477,0.0,12.305261543371358,0.3448275862068966,8|24|29|34|48|60|71|77|126|144|159|183|186|209|227|237|262|308|316|317
step2c_poly_d8_mult_eps050,G-1169.json,11,best_2stage_near_oracle_top20,True,3,6,1,0.0,273.3694999217987,217.7664172444831,244.59262698020538,0.8680696936557695,1.0220498619907517,1.0,21|29|33|48|61|71|108|126|143|162|186|209|227|237|262|277|309|316|319
step2c_poly_d8_mult_eps050,G-1169.json,11,spoplus_rank1,True,11,1,16,4.957100550623041,259.8182989358902,215.66876502470973,245.61467684219613,2.9657219134291495,0.0,0.7727272727272727,21|29|33|48|61|71|108|126|162|183|186|209|227|237|262|277|287|313|316|319
step2c_poly_d8_mult_eps050,G-1169.json,12,two_stage_rank1,True,1,,,15.626103356716605,230.65249931812286,221.45332359709136,251.02300017464688,0.0,11.811316359024545,0.3448275862068966,8|24|29|34|48|60|71|77|126|144|159|183|186|209|227|237|262|308|316|317
step2c_poly_d8_mult_eps050,G-1169.json,12,best_2stage_near_oracle_top20,True,3,5,1,0.0,273.3694999217987,220.39303373285114,262.0356796368826,1.060289864240218,0.7986368967888211,1.0,21|29|33|48|61|71|108|126|143|162|186|209|227|237|262|277|309|316|319
step2c_poly_d8_mult_eps050,G-1169.json,12,spoplus_rank1,True,13,1,16,4.957100550623041,259.8182989358902,218.2199939762247,262.8343165336714,3.233329620866641,0.0,0.7727272727272727,21|29|33|48|61|71|108|126|162|183|186|209|227|237|262|277|287|313|316|319
