epoch,theta_1,theta_2,theta_norm,train_spoplus_loss,validation_spoplus_loss,train_normalized_spoplus_loss,validation_normalized_spoplus_loss,train_decision_gap,validation_decision_gap,train_y_adv_oracle_equal_rate,validation_y_adv_oracle_equal_rate,train_y_pred_oracle_equal_rate,validation_y_pred_oracle_equal_rate
130,8.843233970537486,5.725602342458987,10.534956537244947,28.48568217764762,27.710698136311084,0.17770924391714366,0.17449384438862836,7.164809463024139,7.214731847668067,0.02,0.015,0.205,0.219
140,9.089153233889908,5.712387585819261,10.735179478693096,28.202148471688137,27.39574603691909,0.17614872355825406,0.17253705037568398,7.057382961511612,7.141180892920121,0.02,0.016,0.21,0.2235
150,9.312904048373946,5.707691343924141,10.92281659150818,27.970661108637486,27.136426144299314,0.1748953662424378,0.17093060512617092,6.96584896504879,7.061794093534351,0.02,0.016,0.21,0.2235
160,9.5234736032801,5.707893034559599,11.102999250938769,27.765827769965025,26.914817819762753,0.1737921507976328,0.16955771037232029,6.961681964993477,7.037223793227225,0.02,0.0165,0.21,0.22
170,9.72296829332195,5.710709066699885,11.276005962992048,27.590072738970544,26.724627593549332,0.1728622456304086,0.16838130718517913,7.024170455411077,7.036610296722501,0.02,0.0175,0.22,0.223
180,9.908331012298888,5.72159894015165,11.441665870022092,27.445120174869025,26.56483982382515,0.17212207796305334,0.16739827328963255,6.866843461468815,6.992232445608824,0.02,0.018,0.225,0.226
190,10.078394344563044,5.737409832223283,11.597064462501395,27.327259364998728,26.431298767384117,0.17153710460974267,0.16657815474547583,6.917179466560483,6.998083241969347,0.02,0.0185,0.225,0.225
200,10.236939331652106,5.754959635697686,11.743699897750943,27.22490498169489,26.318027935508862,0.1710342200982334,0.16588404729390782,6.95920196659863,6.986478943098336,0.02,0.0185,0.225,0.226
210,10.384534396786227,5.775868174507852,11.882727288267159,27.140264364350486,26.2212863269659,0.17063229355669748,0.16529418550001493,6.9414974654465915,6.964099393568933,0.02,0.019,0.23,0.2265
220,10.519690600258505,5.794638703952981,12.010067778098383,27.070804678380874,26.138946617162514,0.17031181923284266,0.16479260990717517,7.045807479694486,6.96334369470179,0.025,0.021,0.23,0.2275
230,10.647391112967696,5.803564773206787,12.126347413352061,27.008095505037918,26.065676661831255,0.17002396373042686,0.16434557037591085,7.040158482268453,6.9570369952712205,0.025,0.021,0.23,0.2265
240,10.768765258000643,5.806866747808111,12.23462327203912,26.95493053159271,26.000666261188083,0.1697835589511872,0.16395155835908168,7.075315983965993,6.9447949447650466,0.025,0.023,0.23,0.2275
250,10.878125795222264,5.812039434540704,12.333427066526815,26.913697458548302,25.94758500514231,0.16960024604263793,0.16363121397928926,7.097901983931661,6.929579894891009,0.025,0.023,0.225,0.227
260,10.979344001279575,5.815490839158123,12.424408573399614,26.8775623167583,25.90178201767644,0.16944080977372653,0.16335406939014974,7.097901983931661,6.9181178443934765,0.025,0.023,0.225,0.2265
270,11.075135481775487,5.815877024866254,12.509318586879523,26.84574621250179,25.86106519742332,0.16930302826933818,0.16310647495222666,7.073588983491063,6.907405194001273,0.025,0.0235,0.23,0.2245
280,11.166058155189665,5.819967190303312,12.591777984910815,26.818090546690918,25.82481646617353,0.16918538783884482,0.16288813110840886,7.174729475751519,6.913744890389964,0.025,0.025,0.225,0.2255
290,11.248144985228864,5.83518083212202,12.67162582119175,26.796872335671033,25.795246564940896,0.16910233906762528,0.1627141505898699,7.218282979503274,6.910250541346148,0.025,0.0255,0.22,0.2235
300,11.322171377476797,5.856565852177715,12.747192956955226,26.77864541302381,25.771470362610337,0.16903478238870562,0.1625768445322632,7.218282979503274,6.907381192242727,0.025,0.026,0.22,0.224
310,11.391241605009812,5.878650622712738,12.818694100711951,26.763296383753254,25.750824006908815,0.16898465404907587,0.16245830151544158,7.236655479595065,6.896647741576657,0.025,0.0265,0.22,0.2245
