density_variant,arc_delta_type,method_label,solution_rank,row_count,mean_original_num_arcs,mean_variant_num_arcs,mean_arc_delta,mean_gap_to_oracle,median_gap_to_oracle,mean_normalized_gap_to_oracle,median_normalized_gap_to_oracle,exact_oracle_rate,near_1pct_rate,near_5pct_rate,solution_changed_vs_original_rate,mean_rank2_minus_rank1_normalized_gap,median_rank2_minus_rank1_normalized_gap,mean_edge_jaccard_with_oracle,median_edge_jaccard_with_oracle,mean_predicted_margin_from_best,median_predicted_margin_from_best,mean_solution_selected_edge_count,mean_num_added_arcs_in_solution,mean_num_removed_arcs_from_original_solution,mean_num_added_arcs_in_oracle,mean_num_removed_arcs_from_original_oracle
add25arcs,add_fixed,spoplus_val_spoplus_loss,1,3,270.0,295.0,25.0,15.65966726342837,12.520001292228699,0.046207366670203136,0.03301378129733421,0.0,0.3333333333333333,0.6666666666666666,1.0,nan,nan,0.6114617940199336,0.6785714285714286,0.0,0.0,24.0,6.0,0.0,6.0,0.0
add25arcs,add_fixed,spoplus_val_spoplus_loss,2,3,270.0,295.0,25.0,27.47556754698356,38.51789977401495,0.07791057309445927,0.11578238540410993,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.031703206424256135,0.012911439107064493,0.6199059561128527,0.6551724137931034,0.474860290555758,0.34870182856639076,24.0,5.666666666666667,0.0,6.0,0.0
remove25arcs,remove_fixed,2stage_val_mse,1,3,270.0,245.0,-25.0,9.668967564900717,2.3894009590148926,0.04208623600784927,0.011964239189111428,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.0,nan,nan,0.7571428571428571,0.7,0.0,0.0,16.666666666666668,0.0,2.3333333333333335,0.0,2.6666666666666665
remove25arcs,remove_fixed,2stage_val_mse,2,3,270.0,245.0,-25.0,22.790101329485577,6.249000787734985,0.09980731978062134,0.031290077052715,0.0,0.3333333333333333,0.6666666666666666,1.0,0.057721083772772054,0.01932583786360357,0.6309889173060528,0.65,2.184361493579587,2.273897278723382,16.666666666666668,0.0,2.0,0.0,2.6666666666666665
remove25arcs,remove_fixed,spoplus_val_spoplus_loss,1,3,270.0,245.0,-25.0,9.668967564900717,2.3894009590148926,0.04208623600784927,0.011964239189111428,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,nan,nan,0.7571428571428571,0.7,0.0,0.0,16.666666666666668,0.0,2.3333333333333335,0.0,2.6666666666666665
remove25arcs,remove_fixed,spoplus_val_spoplus_loss,2,3,270.0,245.0,-25.0,11.89750107129415,6.249000787734985,0.053034937717933016,0.031290077052715,0.0,0.3333333333333333,0.6666666666666666,1.0,0.010948701710083752,0.007572396076352031,0.7049019607843138,0.7,2.245202823349009,1.1690501421105353,16.666666666666668,0.0,2.3333333333333335,0.0,2.6666666666666665
remove25pct,remove_fraction,2stage_val_mse,1,3,270.0,202.33333333333334,-67.66666666666667,8.41806666056315,5.557898998260498,0.06725595206028216,0.03899294926400475,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.0,nan,nan,0.7345399698340875,0.6153846153846154,0.0,0.0,12.0,0.0,6.666666666666667,0.0,5.333333333333333
remove25pct,remove_fraction,2stage_val_mse,2,3,270.0,202.33333333333334,-67.66666666666667,23.387500375509262,24.92210105061531,0.15581691797697825,0.16750783586220636,0.0,0.0,0.0,1.0,0.0885609659166961,0.12474928874100102,0.6008403361344538,0.5882352941176471,1.2013908849942159,1.2650405434009713,12.666666666666666,0.0,6.666666666666667,0.0,5.333333333333333
remove25pct,remove_fraction,spoplus_val_spoplus_loss,1,3,270.0,202.33333333333334,-67.66666666666667,14.872800678014755,19.696300983428955,0.09584139855261425,0.12474928874100102,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,nan,nan,0.7765567765567766,0.7142857142857143,0.0,0.0,12.333333333333334,0.0,6.333333333333333,0.0,5.333333333333333
remove25pct,remove_fraction,spoplus_val_spoplus_loss,2,3,270.0,202.33333333333334,-67.66666666666667,18.440366943677265,20.269001007080078,0.11804534445164892,0.14763524822873567,0.0,0.0,0.3333333333333333,1.0,0.02220394589903467,0.02288595948773464,0.5627450980392157,0.5882352941176471,0.8988839024997711,0.7963189371087367,12.666666666666666,0.0,6.0,0.0,5.333333333333333
