target_graph_id,target_case_group,match_rank,control_graph_id,match_distance,target_num_vertices,target_num_arcs,target_density,target_num_2cycles,target_num_3cycles,target_largest_scc_fraction,control_num_vertices,control_num_arcs,control_density,control_num_2cycles,control_num_3cycles,control_largest_scc_fraction,absdiff_num_vertices,absdiff_num_arcs,absdiff_density,absdiff_num_2cycles,absdiff_num_3cycles,absdiff_largest_scc_fraction,target_median_delta_pp,target_strict_case_c_rate,target_helpful_graph,target_harmful_graph,target_feasible_set_richness_score,target_num_exchange_candidates,target_conflict_graph_density,target_ranking_ambiguity_score,target_mean_2stage_top5_within_1pct_count,target_median_2stage_top5_diversity_from_rank1,control_median_delta_pp,control_strict_case_c_rate,control_helpful_graph,control_harmful_graph,control_feasible_set_richness_score,control_num_exchange_candidates,control_conflict_graph_density,control_ranking_ambiguity_score,control_mean_2stage_top5_within_1pct_count,control_median_2stage_top5_diversity_from_rank1
G-1285.json,helpful_success,14,G-102.json,1.3718564367349446,59.0,202.0,0.05902980713033314,8.0,9.0,0.3050847457627119,59.0,188.0,0.05493863237872589,3.0,11.0,0.3728813559322034,0.0,14.0,0.004091174751607245,5.0,2.0,0.06779661016949151,22.362259859222338,1.0,1.0,0.0,-1.0585279607607738,269.0,0.8850080452754814,1.934447021329882,2.0,0.5135416666666667,0.0,0.0,0.0,0.0,-0.36978474223790336,72.0,0.7347417840375586,-2.2838300869975976,1.0,0.286904761904762
G-1285.json,helpful_success,15,G-1947.json,1.378272808838787,59.0,202.0,0.05902980713033314,8.0,9.0,0.3050847457627119,58.0,171.0,0.05172413793103448,6.0,8.0,0.41379310344827586,1.0,31.0,0.007305669199298655,2.0,1.0,0.10870835768556397,22.362259859222338,1.0,1.0,0.0,-1.0585279607607738,269.0,0.8850080452754814,1.934447021329882,2.0,0.5135416666666667,0.0,0.0,0.0,0.0,-0.7513641592837395,402.0,0.7752385206138882,-0.39408187244968174,3.0,0.17333333333333334
G-1285.json,helpful_success,16,G-1605.json,1.4191841977699737,59.0,202.0,0.05902980713033314,8.0,9.0,0.3050847457627119,59.0,224.0,0.06545879602571596,4.0,0.0,0.2542372881355932,0.0,22.0,0.00642898889538282,4.0,9.0,0.050847457627118675,22.362259859222338,1.0,1.0,0.0,-1.0585279607607738,269.0,0.8850080452754814,1.934447021329882,2.0,0.5135416666666667,0.0,0.0,0.0,0.0,-1.613970514711161,201.0,0.6254228855721393,-1.239613597824222,1.0,0.3155019902697921
G-1285.json,helpful_success,17,G-433.json,1.4245515439510574,59.0,202.0,0.05902980713033314,8.0,9.0,0.3050847457627119,57.0,206.0,0.06453634085213032,6.0,12.0,0.3157894736842105,2.0,4.0,0.0055065337217971855,2.0,3.0,0.010704727921498625,22.362259859222338,1.0,1.0,0.0,-1.0585279607607738,269.0,0.8850080452754814,1.934447021329882,2.0,0.5135416666666667,0.0,0.0,0.0,0.0,-0.8465764106251366,378.0,0.8463924325993292,-1.175912669386577,2.0,0.29861111111111116
G-1285.json,helpful_success,18,G-1650.json,1.4385102674231531,59.0,202.0,0.05902980713033314,8.0,9.0,0.3050847457627119,57.0,196.0,0.06140350877192982,6.0,4.0,0.3333333333333333,2.0,6.0,0.0023737016415966844,2.0,5.0,0.02824858757062143,22.362259859222338,1.0,1.0,0.0,-1.0585279607607738,269.0,0.8850080452754814,1.934447021329882,2.0,0.5135416666666667,0.0,0.0,0.0,0.0,-1.3749340361263087,474.0,0.8112148865754989,-3.8329193649160955,1.0,0.15373774509803917
G-1285.json,helpful_success,19,G-407.json,1.4433621885532817,59.0,202.0,0.05902980713033314,8.0,9.0,0.3050847457627119,59.0,213.0,0.06224430157802455,3.0,4.0,0.22033898305084745,0.0,11.0,0.00321449444769141,5.0,5.0,0.08474576271186443,22.362259859222338,1.0,1.0,0.0,-1.0585279607607738,269.0,0.8850080452754814,1.934447021329882,2.0,0.5135416666666667,0.6662434438837664,0.0,0.0,0.0,-0.9842457092422494,402.0,0.7639235245220283,-0.9143973209858536,2.0,0.11856617647058831
G-1285.json,helpful_success,20,G-1606.json,1.4460502747725594,59.0,202.0,0.05902980713033314,8.0,9.0,0.3050847457627119,58.0,189.0,0.05716878402903811,5.0,1.0,0.1896551724137931,1.0,13.0,0.0018610231012950243,3.0,8.0,0.11542957334891879,22.362259859222338,1.0,1.0,0.0,-1.0585279607607738,269.0,0.8850080452754814,1.934447021329882,2.0,0.5135416666666667,0.0,0.0,0.0,0.0,-0.8596848347368681,202.0,0.7791734397320329,-4.2691897011431035,1.0,0.21006944444444442
G-1560.json,helpful_success,1,G-542.json,0.24776201847967355,56.0,262.0,0.08506493506493507,8.0,20.0,0.42857142857142855,56.0,269.0,0.08733766233766234,8.0,20.0,0.4107142857142857,0.0,7.0,0.0022727272727272735,0.0,0.0,0.01785714285714285,35.37441234249151,1.0,1.0,0.0,-0.6463609927220126,241.0,0.8199861687413554,-0.6631446322160364,1.0,0.41977671878346534,0.0,0.0,0.0,0.0,1.1409284004820681,1188.0,0.8024800093039351,-1.0536038352272568,2.0,0.20898268398268405
G-1560.json,helpful_success,2,G-1983.json,0.3147591743904775,56.0,262.0,0.08506493506493507,8.0,20.0,0.42857142857142855,56.0,268.0,0.08701298701298701,7.0,19.0,0.42857142857142855,0.0,6.0,0.0019480519480519487,1.0,1.0,0.0,35.37441234249151,1.0,1.0,0.0,-0.6463609927220126,241.0,0.8199861687413554,-0.6631446322160364,1.0,0.41977671878346534,0.0,0.0,0.0,0.0,0.9727072168154435,1223.0,0.6975923816966945,-1.963592214780749,1.0,0.21376811594202894
G-1560.json,helpful_success,3,G-1460.json,0.48230656967123736,56.0,262.0,0.08506493506493507,8.0,20.0,0.42857142857142855,56.0,256.0,0.08311688311688312,8.0,17.0,0.48214285714285715,0.0,6.0,0.0019480519480519487,0.0,3.0,0.0535714285714286,35.37441234249151,1.0,1.0,0.0,-0.6463609927220126,241.0,0.8199861687413554,-0.6631446322160364,1.0,0.41977671878346534,6.315014637214135,0.0,0.0,0.0,0.3110864179628102,1077.0,0.8172001256415832,4.104164945178661,5.0,0.402227038973182
G-1560.json,helpful_success,4,G-145.json,0.616479666907533,56.0,262.0,0.08506493506493507,8.0,20.0,0.42857142857142855,56.0,267.0,0.08668831168831169,10.0,24.0,0.4107142857142857,0.0,5.0,0.001623376623376624,2.0,4.0,0.01785714285714285,35.37441234249151,1.0,1.0,0.0,-0.6463609927220126,241.0,0.8199861687413554,-0.6631446322160364,1.0,0.41977671878346534,0.5998261633370507,0.0,0.0,0.0,2.0926814669489047,1489.0,0.7677312838955206,2.333670123755774,5.0,0.2178147939017504
G-1560.json,helpful_success,5,G-191.json,0.6584580495149261,56.0,262.0,0.08506493506493507,8.0,20.0,0.42857142857142855,56.0,270.0,0.08766233766233766,6.0,20.0,0.375,0.0,8.0,0.0025974025974025983,2.0,0.0,0.05357142857142855,35.37441234249151,1.0,1.0,0.0,-0.6463609927220126,241.0,0.8199861687413554,-0.6631446322160364,1.0,0.41977671878346534,15.458823466060393,1.0,1.0,0.0,0.4426515386084598,1028.0,0.8180469729748161,4.852842859289417,4.7,0.5480911330049261
G-1560.json,helpful_success,6,G-663.json,0.702520975710325,56.0,262.0,0.08506493506493507,8.0,20.0,0.42857142857142855,56.0,260.0,0.08441558441558442,10.0,14.0,0.44642857142857145,0.0,2.0,0.0006493506493506496,2.0,6.0,0.017857142857142905,35.37441234249151,1.0,1.0,0.0,-0.6463609927220126,241.0,0.8199861687413554,-0.6631446322160364,1.0,0.41977671878346534,0.0,0.0,0.0,0.0,0.05757159467820197,856.0,0.746991310050828,2.9264882362964815,5.0,0.33306623931623935
G-1560.json,helpful_success,7,G-64.json,0.7260761982943787,56.0,262.0,0.08506493506493507,8.0,20.0,0.42857142857142855,56.0,271.0,0.08798701298701299,7.0,21.0,0.5178571428571429,0.0,9.0,0.002922077922077923,1.0,1.0,0.08928571428571436,35.37441234249151,1.0,1.0,0.0,-0.6463609927220126,241.0,0.8199861687413554,-0.6631446322160364,1.0,0.41977671878346534,0.0,0.0,0.0,0.0,-0.47439898321087914,533.0,0.6911580075893298,-0.24295853501130016,3.0,0.13538461538461533
G-1560.json,helpful_success,8,G-1355.json,0.7317246589611602,56.0,262.0,0.08506493506493507,8.0,20.0,0.42857142857142855,56.0,274.0,0.08896103896103896,9.0,13.0,0.4107142857142857,0.0,12.0,0.0038961038961038974,1.0,7.0,0.01785714285714285,35.37441234249151,1.0,1.0,0.0,-0.6463609927220126,241.0,0.8199861687413554,-0.6631446322160364,1.0,0.41977671878346534,-0.19342191659701236,0.0,0.0,0.0,1.0486404812215433,1360.0,0.8116976150283512,-3.2333833434325947,1.0,0.19707556935817805
G-1560.json,helpful_success,9,G-907.json,0.7541953894883954,56.0,262.0,0.08506493506493507,8.0,20.0,0.42857142857142855,56.0,257.0,0.08344155844155844,7.0,14.0,0.5,0.0,5.0,0.001623376623376624,1.0,6.0,0.07142857142857145,35.37441234249151,1.0,1.0,0.0,-0.6463609927220126,241.0,0.8199861687413554,-0.6631446322160364,1.0,0.41977671878346534,-0.42132007760629175,0.0,0.0,0.0,0.7061615272682422,1275.0,0.6978619139963678,2.8503880548130685,5.0,0.24933687002652527
G-1560.json,helpful_success,10,G-1349.json,0.8093244414754265,56.0,262.0,0.08506493506493507,8.0,20.0,0.42857142857142855,56.0,251.0,0.08149350649350649,6.0,17.0,0.35714285714285715,0.0,11.0,0.0035714285714285726,2.0,3.0,0.0714285714285714,35.37441234249151,1.0,1.0,0.0,-0.6463609927220126,241.0,0.8199861687413554,-0.6631446322160364,1.0,0.41977671878346534,-5.952728853994822,0.0,0.0,0.0,-0.7702697606110915,498.0,0.8455633398786292,0.11032957592728702,2.0,0.29953703703703716
G-1560.json,helpful_success,11,G-317.json,0.8102615128521089,56.0,262.0,0.08506493506493507,8.0,20.0,0.42857142857142855,56.0,259.0,0.08409090909090909,10.0,25.0,0.5,0.0,3.0,0.0009740259740259744,2.0,5.0,0.07142857142857145,35.37441234249151,1.0,1.0,0.0,-0.6463609927220126,241.0,0.8199861687413554,-0.6631446322160364,1.0,0.41977671878346534,0.0,0.0,0.0,0.0,1.340051866675822,1126.0,0.7874971383461614,-0.3452563525879878,3.0,0.13935897435897437
G-1560.json,helpful_success,12,G-1699.json,0.8244345616794732,56.0,262.0,0.08506493506493507,8.0,20.0,0.42857142857142855,56.0,281.0,0.09123376623376624,10.0,24.0,0.42857142857142855,0.0,19.0,0.006168831168831171,2.0,4.0,0.0,35.37441234249151,1.0,1.0,0.0,-0.6463609927220126,241.0,0.8199861687413554,-0.6631446322160364,1.0,0.41977671878346534,-1.3832744265297308,0.0,0.0,0.0,2.199518467239387,1548.0,0.7715266189958393,0.6808321974164887,2.0,0.3109022556390977
