epoch,theta_1,theta_2,train_fy_loss,validation_fy_loss,train_decision_gap,validation_decision_gap,test_mean_decision_gap,test_mean_normalized_gap,test_median_normalized_gap,test_mean_achieved_oracle_ratio
180,9.264188105241939,3.979601364915995,1.990569748878479,1.998961044549942,0.5054339599609375,0.7904719161987305,0.7568100700378418,0.0054849218756150165,0.0,0.9945150781243419
190,9.441295769613332,4.023971764559803,1.9817049932479858,1.9924527525901794,0.5054339599609375,0.7937864112854004,0.7572207832336426,0.005485548759394766,0.0,0.9945144512405623
200,9.602004730329394,4.118720190810973,1.9738819456100465,1.978793922662735,0.5054339599609375,0.7904719161987305,0.7568100700378418,0.0054849218756150165,0.0,0.9945150781243419
210,9.759524631179493,4.14247370924582,1.967034149169922,1.9765649020671845,0.5054339599609375,0.7898039054870606,0.7611800880432129,0.0055127937886784925,0.0,0.9944872062112784
220,9.906095616463778,4.153866550106416,1.9614748525619508,1.9768972420692443,0.5054339599609375,0.7970516395568847,0.7687405967712402,0.005547199166800189,0.0,0.9944528008331566
230,10.038000127247262,4.257439689477187,1.9560073184967042,1.9628946316242217,0.5054339599609375,0.7997756385803223,0.7700294990539551,0.005564883140821369,0.0,0.9944351168591352
240,10.165704207608696,4.323042098408461,1.9513898658752442,1.955275323987007,0.5054339599609375,0.7997756385803223,0.7657312965393066,0.005540964928755441,0.0,0.9944590350712013
250,10.292746879117344,4.318152696424538,1.9472996759414674,1.958530992269516,0.5054339599609375,0.7970516395568847,0.7687405967712402,0.005547199166800189,0.0,0.9944528008331566
260,10.412958630454524,4.335425460514648,1.9436676263809205,1.9587185788154602,0.5054339599609375,0.8143403816223145,0.7672058219909668,0.005536332310700322,0.0,0.9944636676892564
270,10.521499865887606,4.454707012982373,1.9399723148345946,1.9433661019802093,0.5054339599609375,0.7970516395568847,0.7687405967712402,0.005547199166800189,0.0,0.9944528008331566
280,10.63080738899682,4.479347554289699,1.9372054100036622,1.9424533420801162,0.5054339599609375,0.7970516395568847,0.7687405967712402,0.005547199166800189,0.0,0.9944528008331566
290,10.73592273848729,4.515443255192122,1.9347777843475342,1.9399935960769654,0.5054339599609375,0.7970516395568847,0.7687405967712402,0.005547199166800189,0.0,0.9944528008331566
300,10.832502900772436,4.585754378145004,1.9326931762695312,1.932624180316925,0.5054339599609375,0.7970516395568847,0.7687405967712402,0.005547199166800189,0.0,0.9944528008331566
310,10.931986046577316,4.604308393881809,1.930829029083252,1.9328199619054793,0.5054339599609375,0.7970516395568847,0.7687405967712402,0.005547199166800189,0.0,0.9944528008331566
320,11.027439128361534,4.632373752304403,1.9291274213790894,1.9317292922735214,0.5054339599609375,0.7970516395568847,0.7687405967712402,0.005547199166800189,0.0,0.9944528008331566
330,11.11415508230918,4.674350780250037,1.9276679754257202,1.928568304181099,0.5054339599609375,0.7970516395568847,0.7687405967712402,0.005547199166800189,0.0,0.9944528008331566
340,11.190938158634193,4.707374025768931,1.926448197364807,1.9264712256193162,0.5054339599609375,0.7970516395568847,0.7687405967712402,0.005547199166800189,0.0,0.9944528008331566
350,11.271442867202975,4.73179118247192,1.9251609563827514,1.9257484030723573,0.5054339599609375,0.7970516395568847,0.7687405967712402,0.005547199166800189,0.0,0.9944528008331566
