regime,max_cycle,max_chain,case_type,subset_seed,graph_id,method_label,method,selection_metric,selected_epoch,theta_1,theta_2,solution_rank,cut_attempt,solver_status,solver_status_name,solver_obj_predicted,predicted_obj,true_obj,oracle_obj,gap_to_oracle,normalized_gap_to_oracle,predicted_margin_from_best,true_obj_diff_from_rank1,num_edges,edge_count,num_cycle_candidates,num_chain_candidates,same_solution_as_oracle,edge_jaccard_with_oracle,edge_hamming_with_oracle,edge_overlap_count_with_oracle,same_solution_as_rank1,edge_jaccard_with_rank1,edge_hamming_with_rank1,edge_overlap_count_with_rank1,solution_edge_signature,model_path
step2c_poly_d8_mult_eps050,3,4,step2c_fixed_graph_model_seed_seed1,1,G-392.json,2stage_val_mse,2stage,validation_mse_loss,500,9.898805805603702,9.090889684116194,1,1,2,OPTIMAL,198.57151948095196,198.5715194809519,190.99460101127625,254.6992008984089,63.704599887132645,0.25011699943374455,0.0,0.0,296,20,15,250,False,0.46153846153846156,0.0472972972972973,12,True,1.0,0.0,20,23|45|74|94|118|120|146|160|171|173|190|199|209|239|248|255|261|284|290|294,surrogate_experiment_results/Step2_resampling/phase1_runs/step2c_poly_d8_mult_eps050/subset_seed=1/model_weights/2stage_best_by_validation_mse_loss.npz
step2c_poly_d8_mult_eps050,3,4,step2c_fixed_graph_model_seed_seed1,1,G-392.json,2stage_val_mse,2stage,validation_mse_loss,500,9.898805805603702,9.090889684116194,2,2,2,OPTIMAL,198.07657907266878,198.07657907266878,181.78880167007446,254.6992008984089,72.91039922833443,0.2862608087142359,0.4949404082831279,9.205799341201782,296,20,15,250,False,0.46153846153846156,0.0472972972972973,12,False,0.8181818181818182,0.013513513513513514,18,1|23|45|74|94|118|120|160|171|173|190|199|209|239|248|250|261|284|290|294,surrogate_experiment_results/Step2_resampling/phase1_runs/step2c_poly_d8_mult_eps050/subset_seed=1/model_weights/2stage_best_by_validation_mse_loss.npz
step2c_poly_d8_mult_eps050,3,4,step2c_fixed_graph_model_seed_seed1,1,G-392.json,2stage_val_mse,2stage,validation_mse_loss,500,9.898805805603702,9.090889684116194,3,3,2,OPTIMAL,197.68062721805413,197.6806272180541,187.8217010498047,254.6992008984089,66.8774998486042,0.2625744392304429,0.8908922628978075,3.1728999614715576,296,20,15,250,False,0.46153846153846156,0.0472972972972973,12,False,0.9047619047619048,0.006756756756756757,19,23|45|74|94|118|120|141|160|171|173|190|199|209|239|248|255|261|284|290|294,surrogate_experiment_results/Step2_resampling/phase1_runs/step2c_poly_d8_mult_eps050/subset_seed=1/model_weights/2stage_best_by_validation_mse_loss.npz
step2c_poly_d8_mult_eps050,3,4,step2c_fixed_graph_model_seed_seed1,1,G-392.json,2stage_val_mse,2stage,validation_mse_loss,500,9.898805805603702,9.090889684116194,4,4,2,OPTIMAL,196.19580599320471,196.19580599320466,187.90090107917786,254.6992008984089,66.79829981923103,0.2622634840759175,2.375713487747248,3.0936999320983887,296,20,15,250,False,0.46153846153846156,0.0472972972972973,12,False,0.9047619047619048,0.006756756756756757,19,23|45|74|94|118|120|142|160|171|173|190|199|209|239|248|255|261|284|290|294,surrogate_experiment_results/Step2_resampling/phase1_runs/step2c_poly_d8_mult_eps050/subset_seed=1/model_weights/2stage_best_by_validation_mse_loss.npz
step2c_poly_d8_mult_eps050,3,4,step2c_fixed_graph_model_seed_seed1,1,G-392.json,2stage_val_mse,2stage,validation_mse_loss,500,9.898805805603702,9.090889684116194,5,5,2,OPTIMAL,195.1795771894521,195.17957718945206,186.1574010848999,254.6992008984089,68.54179981350899,0.2691088137358505,3.391942291499845,4.837199926376343,296,20,15,250,False,0.46153846153846156,0.0472972972972973,12,False,0.9047619047619048,0.006756756756756757,19,23|45|74|94|118|120|144|160|171|173|190|199|209|239|248|255|261|284|290|294,surrogate_experiment_results/Step2_resampling/phase1_runs/step2c_poly_d8_mult_eps050/subset_seed=1/model_weights/2stage_best_by_validation_mse_loss.npz
step2c_poly_d8_mult_eps050,3,4,step2c_fixed_graph_model_seed_seed1,1,G-1560.json,2stage_val_mse,2stage,validation_mse_loss,500,9.898805805603702,9.090889684116194,1,1,2,OPTIMAL,173.59476139805216,173.59476139805216,127.63880008459091,199.08089703321457,71.44209694862366,0.3588596294919519,0.0,0.0,262,20,28,130,False,0.38461538461538464,0.061068702290076333,10,True,1.0,0.0,20,1|7|19|28|40|74|94|124|133|138|156|170|172|197|204|212|220|257|259|260,surrogate_experiment_results/Step2_resampling/phase1_runs/step2c_poly_d8_mult_eps050/subset_seed=1/model_weights/2stage_best_by_validation_mse_loss.npz
step2c_poly_d8_mult_eps050,3,4,step2c_fixed_graph_model_seed_seed1,1,G-1560.json,2stage_val_mse,2stage,validation_mse_loss,500,9.898805805603702,9.090889684116194,2,2,2,OPTIMAL,170.72410794453285,170.72410794453285,129.77999997138977,199.08089703321457,69.3008970618248,0.3481042033375737,2.87065345351931,-2.1411998867988586,262,18,28,130,False,0.3076923076923077,0.06870229007633588,8,False,0.6521739130434783,0.030534351145038167,15,2|7|19|28|74|124|133|138|155|170|172|197|205|212|220|257|259|260,surrogate_experiment_results/Step2_resampling/phase1_runs/step2c_poly_d8_mult_eps050/subset_seed=1/model_weights/2stage_best_by_validation_mse_loss.npz
step2c_poly_d8_mult_eps050,3,4,step2c_fixed_graph_model_seed_seed1,1,G-1560.json,2stage_val_mse,2stage,validation_mse_loss,500,9.898805805603702,9.090889684116194,3,3,2,OPTIMAL,170.49135722857318,170.49135722857315,198.06249749660492,199.08089703321457,1.0183995366096497,0.005115506067036783,3.103404169479006,-70.42369741201401,262,17,28,130,False,0.5714285714285714,0.03435114503816794,12,False,0.27586206896551724,0.08015267175572519,8,2|15|30|74|94|133|138|158|168|176|205|212|220|228|256|259|260,surrogate_experiment_results/Step2_resampling/phase1_runs/step2c_poly_d8_mult_eps050/subset_seed=1/model_weights/2stage_best_by_validation_mse_loss.npz
step2c_poly_d8_mult_eps050,3,4,step2c_fixed_graph_model_seed_seed1,1,G-1560.json,2stage_val_mse,2stage,validation_mse_loss,500,9.898805805603702,9.090889684116194,4,4,2,OPTIMAL,170.32815549990337,170.32815549990337,127.9180999994278,199.08089703321457,71.16279703378677,0.357456682654773,3.266605898148782,-0.27929991483688354,262,18,28,130,False,0.3076923076923077,0.06870229007633588,8,False,0.8095238095238095,0.015267175572519083,17,2|7|19|28|74|94|124|133|138|156|170|172|197|212|220|257|259|260,surrogate_experiment_results/Step2_resampling/phase1_runs/step2c_poly_d8_mult_eps050/subset_seed=1/model_weights/2stage_best_by_validation_mse_loss.npz
step2c_poly_d8_mult_eps050,3,4,step2c_fixed_graph_model_seed_seed1,1,G-1560.json,2stage_val_mse,2stage,validation_mse_loss,500,9.898805805603702,9.090889684116194,5,5,2,OPTIMAL,169.94412814208164,169.9441281420816,123.65799939632416,199.08089703321457,75.42289763689041,0.378855524364691,3.650633255970547,3.980800688266754,262,18,28,130,False,0.25925925925925924,0.07633587786259542,7,False,0.5833333333333334,0.03816793893129771,14,2|7|19|28|74|94|124|133|138|160|172|197|205|212|220|256|259|260,surrogate_experiment_results/Step2_resampling/phase1_runs/step2c_poly_d8_mult_eps050/subset_seed=1/model_weights/2stage_best_by_validation_mse_loss.npz
