case_id,case_label,base_graph_id,subset_seed,perturb_seed,density_variant,arc_delta_type,original_num_arcs,variant_num_arcs,arc_delta,added_arc_count,removed_arc_count,method_label,oracle_obj,oracle_obj_delta_vs_original,oracle_obj_relative_delta_vs_original,oracle_solution_changed_vs_original,rank1_true_obj,rank2_true_obj,rank1_gap_to_oracle,rank2_gap_to_oracle,rank2_minus_rank1_gap_to_oracle,rank1_normalized_gap_to_oracle,rank2_normalized_gap_to_oracle,rank2_minus_rank1_normalized_gap,rank1_near_1pct,rank2_near_1pct,rank1_near_5pct,rank2_near_5pct,rank1_solution_changed_vs_original,rank2_solution_changed_vs_original,rank1_same_oracle,rank2_same_oracle,rank1_edge_jaccard_with_oracle,rank2_edge_jaccard_with_oracle,rank2_edge_jaccard_with_rank1,rank1_solution_selected_edge_count,rank2_solution_selected_edge_count,num_added_arcs_in_oracle,num_added_arcs_in_rank1,num_added_arcs_in_rank2,num_removed_arcs_from_original_oracle,num_removed_arcs_from_original_rank1,num_removed_arcs_from_original_rank2,rank1_arc_key_signature,rank2_arc_key_signature,oracle_arc_key_signature
case_c_spoplus_fixes_2stage_002,case_c_spoplus_fixes_2stage,G-1560.json,30,1,original,none,262,262,0,0,0,2stage_val_mse,199.7119015455246,0.0,0.0,False,141.33510053157806,197.3225005865097,58.37680101394653,2.3894009590148926,-55.98740005493164,0.29230506826027675,0.011964239189111428,-0.2803408290711653,False,False,False,True,False,False,False,False,0.38461538461538464,0.5714285714285714,0.27586206896551724,20.0,17.0,0,0,0,0,0,0,0->19|1->34|3->24|5->1|7->38|12->40|18->0|24->37|25->42|26->12|30->18|33->52|34->5|37->3|38->7|40->26|42->25|55->33|56->39|57->30,0->38|3->5|5->33|12->40|18->0|25->42|26->12|30->34|33->3|34->45|38->19|40->26|42->25|45->50|55->18|56->39|57->30,3->5|5->47|7->38|12->40|25->42|26->12|30->34|33->3|34->45|38->7|40->26|42->25|45->50|55->33|56->39|57->30
case_c_spoplus_fixes_2stage_002,case_c_spoplus_fixes_2stage,G-1560.json,30,1,original,none,262,262,0,0,0,spoplus_val_spoplus_loss,199.7119015455246,0.0,0.0,False,197.3225005865097,141.79669976234436,2.3894009590148926,57.91520178318024,55.525800824165344,0.011964239189111428,0.28999374265979033,0.2780295034706789,False,False,True,False,False,False,False,False,0.5714285714285714,0.25925925925925924,0.4583333333333333,17.0,18.0,0,0,0,0,0,0,0->38|3->5|5->33|12->40|18->0|25->42|26->12|30->34|33->3|34->45|38->19|40->26|42->25|45->50|55->18|56->39|57->30,0->38|1->34|3->24|5->1|12->40|18->0|24->37|25->42|26->12|30->43|34->5|37->3|38->19|40->26|42->25|55->18|56->39|57->30,3->5|5->47|7->38|12->40|25->42|26->12|30->34|33->3|34->45|38->7|40->26|42->25|45->50|55->33|56->39|57->30
case_c_spoplus_fixes_2stage_002,case_c_spoplus_fixes_2stage,G-1560.json,30,1,add25pct,add_fraction,262,328,66,66,0,2stage_val_mse,423.29220361821353,223.58030207268894,1.119514161862424,True,367.8881051540375,379.380505874753,55.40409846417606,43.911697743460536,-11.492400720715523,0.13088853985606747,0.10373849876753873,-0.02715004108852874,False,False,False,False,True,True,False,False,0.34782608695652173,0.35555555555555557,0.6578947368421053,32.0,31.0,12,13,13,0,0,0,1->34|2->24|3->44|5->1|7->26|11->14|12->40|13->3|14->52|18->36|19->12|20->42|24->32|25->20|26->7|30->43|31->37|33->2|34->5|36->45|37->38|38->31|39->18|40->19|42->25|43->49|44->13|49->0|52->11|55->33|56->39|57->30,0->19|1->34|2->24|3->40|5->1|7->26|11->14|12->0|14->52|17->3|18->36|19->12|20->42|24->32|25->20|26->7|30->43|31->37|33->2|34->5|36->45|37->38|38->31|39->18|40->17|42->25|43->49|49->30|52->11|55->33|56->39,0->19|1->12|2->24|3->5|5->33|7->26|12->40|14->2|15->34|18->36|19->0|20->42|25->20|26->7|30->43|31->37|33->3|34->52|36->45|37->38|38->31|39->14|40->17|42->25|43->49|45->18|52->15|55->1|56->39|57->30
case_c_spoplus_fixes_2stage_002,case_c_spoplus_fixes_2stage,G-1560.json,30,1,add25pct,add_fraction,262,328,66,66,0,spoplus_val_spoplus_loss,423.29220361821353,223.58030207268894,1.119514161862424,True,379.380505874753,379.380505874753,43.911697743460536,43.911697743460536,0.0,0.10373849876753873,0.10373849876753873,0.0,False,False,False,False,True,True,False,False,0.35555555555555557,0.38636363636363635,0.9375,31.0,31.0,12,13,13,0,0,0,0->19|1->34|2->24|3->40|5->1|7->26|11->14|12->0|14->52|17->3|18->36|19->12|20->42|24->32|25->20|26->7|30->43|31->37|33->2|34->5|36->45|37->38|38->31|39->18|40->17|42->25|43->49|49->30|52->11|55->33|56->39,0->19|1->34|2->24|3->40|5->1|7->26|11->14|12->0|14->52|17->3|18->36|19->12|20->42|24->32|25->20|26->7|30->43|31->37|33->2|34->5|36->45|37->38|38->31|39->18|40->17|42->25|43->49|52->11|55->33|56->39|57->30,0->19|1->12|2->24|3->5|5->33|7->26|12->40|14->2|15->34|18->36|19->0|20->42|25->20|26->7|30->43|31->37|33->3|34->52|36->45|37->38|38->31|39->14|40->17|42->25|43->49|45->18|52->15|55->1|56->39|57->30
case_c_spoplus_fixes_2stage_002,case_c_spoplus_fixes_2stage,G-1560.json,30,1,add25arcs,add_fixed,262,287,25,25,0,2stage_val_mse,291.60519909858704,91.89329755306244,0.46012930046692907,True,291.60519909858704,290.657598733902,0.0,0.9476003646850586,0.9476003646850586,0.0,0.0032496003761628427,0.0032496003761628427,True,True,True,True,True,True,True,False,1.0,0.9285714285714286,0.9285714285714286,27.0,27.0,6,6,6,0,0,0,1->34|3->31|4->3|5->1|6->10|7->6|10->7|12->40|18->41|21->35|22->38|25->42|26->12|30->43|31->4|33->52|34->5|35->8|39->21|40->26|41->44|42->25|43->22|44->18|55->33|56->39|57->30,1->34|3->31|4->3|5->1|6->10|7->6|10->7|12->40|18->41|21->35|22->19|25->42|26->12|30->43|31->4|33->52|34->5|35->8|39->21|40->26|41->44|42->25|43->22|44->18|55->33|56->39|57->30,1->34|3->31|4->3|5->1|6->10|7->6|10->7|12->40|18->41|21->35|22->38|25->42|26->12|30->43|31->4|33->52|34->5|35->8|39->21|40->26|41->44|42->25|43->22|44->18|55->33|56->39|57->30
case_c_spoplus_fixes_2stage_002,case_c_spoplus_fixes_2stage,G-1560.json,30,1,add25arcs,add_fixed,262,287,25,25,0,spoplus_val_spoplus_loss,291.60519909858704,91.89329755306244,0.46012930046692907,True,291.60519909858704,290.657598733902,0.0,0.9476003646850586,0.9476003646850586,0.0,0.0032496003761628427,0.0032496003761628427,True,True,True,True,True,True,True,False,1.0,0.9285714285714286,0.9285714285714286,27.0,27.0,6,6,6,0,0,0,1->34|3->31|4->3|5->1|6->10|7->6|10->7|12->40|18->41|21->35|22->38|25->42|26->12|30->43|31->4|33->52|34->5|35->8|39->21|40->26|41->44|42->25|43->22|44->18|55->33|56->39|57->30,1->34|3->31|4->3|5->1|6->10|7->6|10->7|12->40|18->41|21->35|22->19|25->42|26->12|30->43|31->4|33->52|34->5|35->8|39->21|40->26|41->44|42->25|43->22|44->18|55->33|56->39|57->30,1->34|3->31|4->3|5->1|6->10|7->6|10->7|12->40|18->41|21->35|22->38|25->42|26->12|30->43|31->4|33->52|34->5|35->8|39->21|40->26|41->44|42->25|43->22|44->18|55->33|56->39|57->30
case_c_spoplus_fixes_2stage_002,case_c_spoplus_fixes_2stage,G-1560.json,30,1,remove25arcs,remove_fixed,262,237,-25,0,25,2stage_val_mse,106.2944003045559,-93.4175012409687,-0.4677613127611929,True,97.2254991531372,90.5813992023468,9.068901151418686,15.713001102209091,6.644099950790405,0.08531871034926629,0.14782529518996484,0.06250658484069856,False,False,False,False,True,True,False,False,0.3125,0.15789473684210525,0.6428571428571429,11.0,12.0,0,0,0,4,4,4,0->38|1->34|3->24|5->1|18->0|24->37|34->5|37->3|38->42|55->18|56->39,0->19|1->34|3->24|5->1|18->0|24->37|30->38|34->5|37->3|38->30|55->18|56->39,0->38|3->5|5->3|18->0|30->34|34->52|38->42|52->30|55->18|56->39
case_c_spoplus_fixes_2stage_002,case_c_spoplus_fixes_2stage,G-1560.json,30,1,remove25arcs,remove_fixed,262,237,-25,0,25,spoplus_val_spoplus_loss,106.2944003045559,-93.4175012409687,-0.4677613127611929,True,90.5813992023468,97.2254991531372,15.713001102209091,9.068901151418686,-6.644099950790405,0.14782529518996484,0.08531871034926629,-0.06250658484069856,False,False,False,False,True,True,False,False,0.15789473684210525,0.3125,0.6428571428571429,12.0,11.0,0,0,0,4,4,3,0->19|1->34|3->24|5->1|18->0|24->37|30->38|34->5|37->3|38->30|55->18|56->39,0->38|1->34|3->24|5->1|18->0|24->37|34->5|37->3|38->42|55->18|56->39,0->38|3->5|5->3|18->0|30->34|34->52|38->42|52->30|55->18|56->39
case_c_spoplus_fixes_2stage_002,case_c_spoplus_fixes_2stage,G-1560.json,30,1,remove25pct,remove_fraction,262,196,-66,0,66,2stage_val_mse,117.97520124912262,-81.73670029640198,-0.40927305615669574,True,117.97520124912262,117.35640168190002,0.0,0.6187995672225952,0.6187995672225952,0.0,0.005245166447401606,0.005245166447401606,True,True,True,True,True,True,True,False,1.0,0.5,0.5,9.0,9.0,0,0,0,4,7,4,3->5|5->47|30->38|33->3|34->45|38->34|55->33|56->39|57->30,0->38|3->5|5->47|30->0|33->3|38->42|55->33|56->39|57->30,3->5|5->47|30->38|33->3|34->45|38->34|55->33|56->39|57->30
case_c_spoplus_fixes_2stage_002,case_c_spoplus_fixes_2stage,G-1560.json,30,1,remove25pct,remove_fraction,262,196,-66,0,66,spoplus_val_spoplus_loss,117.97520124912262,-81.73670029640198,-0.40927305615669574,True,117.10640108585358,117.97520124912262,0.868800163269043,0.0,-0.868800163269043,0.00736426091299539,0.0,-0.00736426091299539,True,True,True,True,True,True,False,True,0.8,1.0,0.8,9.0,9.0,0,0,0,4,4,6,3->5|5->47|30->38|33->3|34->52|38->34|55->33|56->39|57->30,3->5|5->47|30->38|33->3|34->45|38->34|55->33|56->39|57->30,3->5|5->47|30->38|33->3|34->45|38->34|55->33|56->39|57->30
