case_id,case_label,base_graph_id,subset_seed,perturb_seed,density_variant,arc_delta_type,original_num_arcs,variant_num_arcs,arc_delta,method_label,original_oracle_obj,variant_oracle_obj,delta_oracle_obj,relative_delta_oracle_obj,oracle_solution_changed_vs_original,original_rank1_normalized_gap,variant_rank1_normalized_gap,delta_rank1_normalized_gap,original_rank2_normalized_gap,variant_rank2_normalized_gap,delta_rank2_normalized_gap,original_rank2_minus_rank1_normalized_gap,variant_rank2_minus_rank1_normalized_gap,delta_rank2_minus_rank1_normalized_gap,rank1_solution_changed_vs_original,rank2_solution_changed_vs_original,num_added_arcs_in_oracle,num_added_arcs_in_rank1,num_added_arcs_in_rank2,num_removed_arcs_from_original_oracle,num_removed_arcs_from_original_rank1,num_removed_arcs_from_original_rank2
case_c_spoplus_fixes_2stage_001,case_c_spoplus_fixes_2stage,G-392.json,1,3,original,none,296,296,0,2stage_val_mse,258.470400467515,258.470400467515,0.0,0.0,False,0.31384871056929403,0.31384871056929403,0.0,0.31936500893098146,0.31936500893098146,0.0,0.005516298361687433,0.005516298361687433,0.0,False,False,0,0,0,0,0,0
case_c_spoplus_fixes_2stage_001,case_c_spoplus_fixes_2stage,G-392.json,1,3,original,none,296,296,0,spoplus_val_spoplus_loss,258.470400467515,258.470400467515,0.0,0.0,False,0.0,0.0,0.0,0.025326688510099775,0.025326688510099775,0.0,0.025326688510099775,0.025326688510099775,0.0,False,False,0,0,0,0,0,0
case_c_spoplus_fixes_2stage_001,case_c_spoplus_fixes_2stage,G-392.json,1,3,add25pct,add_fraction,296,370,74,2stage_val_mse,258.470400467515,676.3952072560787,417.9248067885637,1.6169155386173097,True,0.31384871056929403,0.022501049952939344,-0.2913476606163547,0.31936500893098146,0.029367892774537763,-0.2899971161564437,0.005516298361687433,0.006866842821598419,0.0013505444599109864,True,True,12,12,12,0,0,0
case_c_spoplus_fixes_2stage_001,case_c_spoplus_fixes_2stage,G-392.json,1,3,add25pct,add_fraction,296,370,74,spoplus_val_spoplus_loss,258.470400467515,676.3952072560787,417.9248067885637,1.6169155386173097,True,0.0,0.022501049952939344,0.022501049952939344,0.025326688510099775,0.029367892774537763,0.0040412042644379885,0.025326688510099775,0.006866842821598419,-0.018459845688501356,True,True,12,12,12,0,0,0
case_c_spoplus_fixes_2stage_001,case_c_spoplus_fixes_2stage,G-392.json,1,3,add25arcs,add_fixed,296,321,25,2stage_val_mse,258.470400467515,364.5396994650364,106.0692989975214,0.41037309806332106,True,0.31384871056929403,0.1596199285023518,-0.15422878206694224,0.31936500893098146,0.0771375530788861,-0.24222745585209537,0.005516298361687433,-0.08248237542346569,-0.08799867378515312,True,True,6,5,6,0,0,0
case_c_spoplus_fixes_2stage_001,case_c_spoplus_fixes_2stage,G-392.json,1,3,add25arcs,add_fixed,296,321,25,spoplus_val_spoplus_loss,258.470400467515,364.5396994650364,106.0692989975214,0.41037309806332106,True,0.0,0.0771375530788861,0.0771375530788861,0.025326688510099775,0.1596199285023518,0.134293239992252,0.025326688510099775,0.08248237542346569,0.057155686913365915,True,True,6,6,5,0,0,0
case_c_spoplus_fixes_2stage_001,case_c_spoplus_fixes_2stage,G-392.json,1,3,remove25arcs,remove_fixed,296,271,-25,2stage_val_mse,258.470400467515,219.33220028877258,-39.13820017874241,-0.15142236831741732,True,0.31384871056929403,0.26531763701098754,-0.04853107355830649,0.31936500893098146,0.0,-0.31936500893098146,0.005516298361687433,-0.26531763701098754,-0.27083393537267497,True,True,0,0,0,2,2,1
case_c_spoplus_fixes_2stage_001,case_c_spoplus_fixes_2stage,G-392.json,1,3,remove25arcs,remove_fixed,296,271,-25,spoplus_val_spoplus_loss,258.470400467515,219.33220028877258,-39.13820017874241,-0.15142236831741732,True,0.0,0.0,0.0,0.025326688510099775,0.0010686997716692073,-0.024257988738430568,0.025326688510099775,0.0010686997716692073,-0.024257988738430568,True,True,0,0,0,2,2,2
case_c_spoplus_fixes_2stage_001,case_c_spoplus_fixes_2stage,G-392.json,1,3,remove25pct,remove_fraction,296,222,-74,2stage_val_mse,258.470400467515,134.66520011425018,-123.80520035326481,-0.47899179221036126,True,0.31384871056929403,0.018296497667301695,-0.29555221290199235,0.31936500893098146,0.0745456216516419,-0.24481938727933955,0.005516298361687433,0.056249123984340205,0.05073282562265277,True,True,0,0,0,4,6,7
case_c_spoplus_fixes_2stage_001,case_c_spoplus_fixes_2stage,G-392.json,1,3,remove25pct,remove_fraction,296,222,-74,spoplus_val_spoplus_loss,258.470400467515,134.66520011425018,-123.80520035326481,-0.47899179221036126,True,0.0,0.018296497667301695,0.018296497667301695,0.025326688510099775,0.06690741805463568,0.041580729544535906,0.025326688510099775,0.048610920387333986,0.02328423187723421,True,True,0,0,0,4,4,4
