regime,method_label,case_type,subset_seed,graph_id,baseline_max_cycle,comparison_max_cycle,baseline_rank2_gap_to_oracle,comparison_rank2_gap_to_oracle,delta_rank2_gap_to_oracle,baseline_rank2_normalized_gap,comparison_rank2_normalized_gap,delta_rank2_normalized_gap,baseline_rank2_same_oracle,comparison_rank2_same_oracle,baseline_num_cycle_candidates,comparison_num_cycle_candidates
step2b_poly_d8,spoplus_val_spoplus_loss,weak_borderline_improvement,27,G-493.json,3,5,6.695699691772461,12.259801477193832,5.5641017854213715,0.024076953731015573,0.042174844856874165,0.018097891125858592,False,False,nan,248.0
step2b_poly_d8,spoplus_val_spoplus_loss,weak_borderline_improvement,27,G-497.json,3,5,4.12889963388443,4.12889963388443,0.0,0.037047135438901056,0.037047135438901056,0.0,False,False,nan,1.0
step2b_poly_d8,spoplus_val_spoplus_loss,weak_borderline_improvement,27,G-501.json,3,5,0.09950000047683716,22.4790990203619,22.379599019885063,0.0005277624323344813,0.09143770082293828,0.09090993839060381,False,False,nan,25.0
step2b_poly_d8,spoplus_val_spoplus_loss,weak_borderline_improvement,27,G-505.json,3,5,11.721799850463867,15.06739991903305,3.3456000685691833,0.05924274829355501,0.07615163133896045,0.016908883045405443,False,False,nan,27.0
step2b_poly_d8,spoplus_val_spoplus_loss,weak_borderline_improvement,27,G-507.json,3,5,25.533999383449554,6.573099002242088,-18.960900381207466,0.19789640700241717,0.04254322931046324,-0.15535317769195395,False,False,nan,39.0
step2b_poly_d8,spoplus_val_spoplus_loss,weak_borderline_improvement,27,G-509.json,3,5,9.001899540424347,5.6380002200603485,-3.3638993203639984,0.052814876084387896,0.023171485759752385,-0.02964339032463551,False,False,nan,12.0
step2b_poly_d8,spoplus_val_spoplus_loss,weak_borderline_improvement,27,G-51.json,3,5,9.109001159667969,9.109001159667969,0.0,0.0949334873088226,0.0949334873088226,0.0,False,False,nan,0.0
step2b_poly_d8,spoplus_val_spoplus_loss,weak_borderline_improvement,27,G-511.json,3,5,12.96500039100647,9.887801826000214,-3.077198565006256,0.047534878753375844,0.03606682047628915,-0.01146805827708669,False,False,nan,65.0
step2b_poly_d8,spoplus_val_spoplus_loss,weak_borderline_improvement,27,G-514.json,3,5,0.0,3.7399998903274536,3.7399998903274536,0.0,0.018110660550061743,0.018110660550061743,True,False,nan,35.0
step2b_poly_d8,spoplus_val_spoplus_loss,weak_borderline_improvement,27,G-538.json,3,5,3.495999574661255,1.2303982973098755,-2.2656012773513794,0.02034474070948052,0.007150929937667803,-0.013193810771812716,False,False,nan,52.0
step2b_poly_d8,spoplus_val_spoplus_loss,weak_borderline_improvement,27,G-539.json,3,5,7.689599633216858,19.75619951635599,12.066599883139133,0.05048498029383965,0.11397605766550416,0.06349107737166451,False,False,nan,14.0
step2b_poly_d8,spoplus_val_spoplus_loss,weak_borderline_improvement,27,G-54.json,3,5,13.546699285507202,6.542098760604858,-7.004600524902344,0.07352111523851024,0.03362640987607564,-0.0398947053624346,False,False,nan,25.0
step2b_poly_d8,spoplus_val_spoplus_loss,weak_borderline_improvement,27,G-541.json,3,5,6.828100681304932,18.544698894023895,11.716598212718964,0.026128109530375764,0.06518003947017353,0.039051929939797767,False,False,nan,230.0
step2b_poly_d8,spoplus_val_spoplus_loss,weak_borderline_improvement,27,G-542.json,3,5,15.009400367736816,12.86680269241333,-2.1425976753234863,0.06588569411128203,0.04857380460168961,-0.01731188950959242,False,False,nan,177.0
step2b_poly_d8,spoplus_val_spoplus_loss,weak_borderline_improvement,27,G-543.json,3,5,6.97960090637207,6.97960090637207,0.0,0.05346616022317437,0.05346616022317437,0.0,False,False,nan,7.0
step2b_poly_d8,spoplus_val_spoplus_loss,weak_borderline_improvement,27,G-546.json,3,5,12.781299352645874,0.0,-12.781299352645874,0.06208878528369039,0.0,-0.06208878528369039,False,True,nan,53.0
step2b_poly_d8,spoplus_val_spoplus_loss,weak_borderline_improvement,27,G-548.json,3,5,14.886900901794434,22.071302443742752,7.1844015419483185,0.04884921471189714,0.0686861623657008,0.019836947653803658,False,False,nan,138.0
step2b_poly_d8,spoplus_val_spoplus_loss,weak_borderline_improvement,27,G-552.json,3,5,1.3172999322414398,0.8276000022888184,-0.48969992995262146,0.012805183055215814,0.007749266744033005,-0.005055916311182809,False,False,nan,9.0
step2b_poly_d8,spoplus_val_spoplus_loss,weak_borderline_improvement,27,G-563.json,3,5,7.888099551200867,0.8234000205993652,-7.0646995306015015,0.07518806027142746,0.00771788957622126,-0.06747017069520621,False,False,nan,1.0
step2b_poly_d8,spoplus_val_spoplus_loss,weak_borderline_improvement,27,G-569.json,3,5,1.444099798798561,0.1930997371673584,-1.2510000616312027,0.007675841294856273,0.0009767004593068897,-0.006699140835549383,False,False,nan,10.0
step2b_poly_d8,spoplus_val_spoplus_loss,weak_borderline_improvement,27,G-570.json,3,5,2.291499614715576,9.03389998152852,6.742400366812944,0.013164824446198207,0.047629567220716554,0.034464742774518345,False,False,nan,18.0
step2b_poly_d8,spoplus_val_spoplus_loss,weak_borderline_improvement,27,G-584.json,3,5,24.942102551460266,5.9078003242611885,-19.034302227199078,0.09454437918674084,0.01988109408972331,-0.07466328509701753,False,False,nan,167.0
step2b_poly_d8,spoplus_val_spoplus_loss,weak_borderline_improvement,27,G-592.json,3,5,0.7448999881744385,0.7448999881744385,0.0,0.062021761607589904,0.062021761607589904,0.0,False,False,nan,0.0
step2b_poly_d8,spoplus_val_spoplus_loss,weak_borderline_improvement,27,G-6.json,3,5,13.477099657058716,13.477099657058716,0.0,0.09901725254339229,0.09901725254339229,0.0,False,False,nan,2.0
step2b_poly_d8,spoplus_val_spoplus_loss,weak_borderline_improvement,27,G-600.json,3,5,12.406495928764343,33.149895668029785,20.743399739265442,0.05697589784749335,0.15223839834241107,0.09526250049491772,False,False,nan,239.0
step2b_poly_d8,spoplus_val_spoplus_loss,weak_borderline_improvement,27,G-601.json,3,5,3.161800742149353,14.050900429487228,10.889099687337875,0.021104193682124236,0.0937860884524183,0.07268189477029406,False,False,nan,4.0
step2b_poly_d8,spoplus_val_spoplus_loss,weak_borderline_improvement,27,G-607.json,3,5,4.430300354957581,0.9783999919891357,-3.451900362968445,0.04035183282207549,0.00828066928858007,-0.032071163533495414,False,False,nan,6.0
step2b_poly_d8,spoplus_val_spoplus_loss,weak_borderline_improvement,27,G-61.json,3,5,2.5691001415252686,11.990400314331055,9.421300172805786,0.01627153816664999,0.06802581590465231,0.05175427773800233,False,False,nan,26.0
step2b_poly_d8,spoplus_val_spoplus_loss,weak_borderline_improvement,27,G-611.json,3,5,19.326500058174133,1.0534000396728516,-18.27310001850128,0.10133877406171256,0.0054660236027044,-0.09587275045900816,False,False,nan,19.0
step2b_poly_d8,spoplus_val_spoplus_loss,weak_borderline_improvement,27,G-629.json,3,5,7.717300772666931,6.421600580215454,-1.295700192451477,0.04689181826374308,0.0364038375464225,-0.010487980717320579,False,False,nan,56.0
step2b_poly_d8,spoplus_val_spoplus_loss,weak_borderline_improvement,27,G-638.json,3,5,16.595200181007385,0.0,-16.595200181007385,0.0728998876134456,0.0,-0.0728998876134456,False,True,nan,66.0
step2b_poly_d8,spoplus_val_spoplus_loss,weak_borderline_improvement,27,G-64.json,3,5,0.0,0.0,0.0,0.0,0.0,0.0,True,True,nan,198.0
step2b_poly_d8,spoplus_val_spoplus_loss,weak_borderline_improvement,27,G-642.json,3,5,0.8956003189086914,0.0,-0.8956003189086914,0.004966763470169287,0.0,-0.004966763470169287,False,True,nan,31.0
step2b_poly_d8,spoplus_val_spoplus_loss,weak_borderline_improvement,27,G-644.json,3,5,10.462599217891693,10.462599217891693,0.0,0.06078651469771033,0.06078651469771033,0.0,False,False,nan,25.0
