job_id,topology_id,data_seed,sample_size,training_size,validation_size,method,selected_epoch,selection_metric,selection_value,test_mean_decision_gap,test_mean_normalized_gap,best_epoch,stop_epoch,stopped_early,hit_max_epoch,best_value,max_epochs
G-124|step2c_poly_d8_mult_eps050|seed=000102|sample_size=100|train=080,G-124,102,100,80,20,spoplus,72,validation_spoplus_loss,20.920910683163157,12.576020442962646,0.12736818891031845,72,92,True,False,20.92084290037573,3000
G-124|step2c_poly_d8_mult_eps050|seed=000102|sample_size=500|train=400,G-124,102,500,400,100,2stage,755,validation_mse_loss,17.490943714379135,12.112239330291748,0.12268647482774395,755,775,True,False,17.490943714379135,3000
G-124|step2c_poly_d8_mult_eps050|seed=000102|sample_size=500|train=400,G-124,102,500,400,100,spoplus,131,validation_spoplus_loss,21.461432522145074,12.544763332366943,0.1270666383750665,131,151,True,False,21.461336107261516,3000
G-124|step2c_poly_d8_mult_eps050|seed=000103|sample_size=050|train=040,G-124,103,50,40,10,2stage,778,validation_mse_loss,16.791635691140304,12.08715704727173,0.12242050576581003,778,798,True,False,16.791635691140304,3000
G-124|step2c_poly_d8_mult_eps050|seed=000103|sample_size=050|train=040,G-124,103,50,40,10,spoplus,126,validation_spoplus_loss,26.042574175271533,12.541640430450439,0.1270359099540268,124,144,True,False,26.042653319979102,3000
G-124|step2c_poly_d8_mult_eps050|seed=000103|sample_size=100|train=080,G-124,103,100,80,20,2stage,944,validation_mse_loss,17.31324743709006,12.101050640106202,0.12257070668295438,944,964,True,False,17.31324743709006,3000
G-124|step2c_poly_d8_mult_eps050|seed=000103|sample_size=100|train=080,G-124,103,100,80,20,spoplus,111,validation_spoplus_loss,26.45617540279636,12.563860034942627,0.12724760369078486,109,129,True,False,26.456259219301906,3000
G-124|step2c_poly_d8_mult_eps050|seed=000103|sample_size=500|train=400,G-124,103,500,400,100,2stage,795,validation_mse_loss,18.040690763629986,12.112239330291748,0.12268647482774395,795,815,True,False,18.040690763629986,3000
G-124|step2c_poly_d8_mult_eps050|seed=000103|sample_size=500|train=400,G-124,103,500,400,100,spoplus,127,validation_spoplus_loss,23.3071876484674,12.544763332366943,0.1270666383750665,125,145,True,False,23.307173883305328,3000
G-124|step2c_poly_d8_mult_eps050|seed=000104|sample_size=050|train=040,G-124,104,50,40,10,2stage,687,validation_mse_loss,20.47106192750899,12.112239330291748,0.12268647482774395,687,707,True,False,20.47106192750899,3000
G-124|step2c_poly_d8_mult_eps050|seed=000104|sample_size=050|train=040,G-124,104,50,40,10,spoplus,157,validation_spoplus_loss,25.56747010673434,12.544763332366943,0.1270666383750665,157,177,True,False,25.567470106734355,3000
