topology_id,sample_size,job_count,mean_runtime_seconds,median_runtime_seconds,std_runtime_seconds,mean_test_gap_2stage,mean_test_gap_spoplus,mean_test_gap_improvement,mean_test_normalized_gap_2stage,mean_test_normalized_gap_spoplus,mean_fraction_improved_over_2stage,two_stage_stopped_early_count,two_stage_hit_max_epoch_count,mean_two_stage_stop_epoch,median_two_stage_stop_epoch,spoplus_stopped_early_count,spoplus_hit_max_epoch_count,mean_spoplus_stop_epoch,median_spoplus_stop_epoch
G-237,100,5,2245.9258,2239.114,12.574519098557946,0.729303874206543,0.3944873229980469,0.33481655120849607,0.01039321578264626,0.005725184295904004,0.0358,5,0,861.8,961.0,0,5,,
G-237,500,5,11424.2836,11510.807,159.28418592641293,0.727581014251709,0.3970011833190918,0.33057983093261717,0.01036801598519926,0.0057696725680740765,0.0356,5,0,711.4,694.0,0,5,,
G-269,50,5,114.9756,119.172,23.195397445182955,15.52235714263916,0.2088039894104004,15.31355315322876,0.1757964316870004,0.0027940008053837814,0.9348,5,0,562.8,417.0,5,0,487.8,509.0
G-269,100,5,229.33939999999998,206.307,69.40012179989311,15.533643782043457,0.2088039894104004,15.324839792633057,0.17590119049686162,0.0027940008053837814,0.9352,5,0,512.0,457.0,5,0,578.0,506.0
G-269,500,5,2621.8154,1849.567,1775.2561818325378,15.474913832092286,0.2088039894104004,15.266109842681885,0.17526171663217077,0.0027940008053837814,0.9328000000000001,5,0,550.8,540.0,4,1,936.75,858.5
G-304,50,5,147.1958,134.186,33.94589520045096,7.528664039611816,2.1010535182952883,5.427610521316528,0.1349592002987735,0.04167881774928807,0.6664,5,0,786.4,749.0,5,0,1090.0,990.0
G-304,100,5,255.1428,233.311,81.33828831343821,7.528664039611816,2.2613253147125243,5.267338724899292,0.1349592002987735,0.04451547479675265,0.641,5,0,822.0,728.0,5,0,1040.2,948.0
G-304,500,5,2000.7358,2024.716,998.2912316211939,7.528664039611816,2.2566512218475343,5.272012817764282,0.1349592002987735,0.044350158034748996,0.641,5,0,876.2,849.0,5,0,1547.4,1642.0
G-364,50,5,37.2488,35.054,9.770925163975008,5.984519125938416,4.683004594039917,1.3015145318984984,0.1990909099235885,0.1561425010677211,0.29259999999999997,5,0,640.6,604.0,5,0,197.2,139.0
G-364,100,5,51.6704,49.069,11.398878516766462,5.984519125938416,4.002868693542481,1.9816504323959352,0.1990909099235885,0.13369579873351073,0.4546,5,0,663.8,637.0,5,0,225.0,189.0
G-364,500,5,197.4654,197.275,7.656626635797262,5.984519125938416,2.8916547718048093,3.092864354133606,0.1990909099235885,0.09670814923166383,0.7392,5,0,736.4,778.0,5,0,289.6,293.0
G-396,50,5,130.377,103.148,71.04208357304844,15.936969261169434,15.936969261169434,0.0,0.14438003525889462,0.14438003525889462,0.0,5,0,695.0,670.0,5,0,222.0,160.0
G-396,100,5,295.0042,345.481,133.38921698158364,15.936969261169434,15.935347421264648,0.001621839904785156,0.14438003525889462,0.14436379782913128,0.0002,5,0,832.6,944.0,5,0,312.4,375.0
G-396,500,5,1810.6779999999999,2112.912,845.439289692879,15.936969261169434,15.936969261169434,0.0,0.14438003525889462,0.14438003525889462,0.0,5,0,815.0,791.0,5,0,435.8,516.0
G-398,50,5,128.9824,135.184,16.89136879711055,11.70437440109253,0.0,11.70437440109253,0.13367695058173176,0.0,1.0,5,0,811.4,1008.0,5,0,414.6,451.0
G-398,100,5,259.968,249.349,45.89335071663432,11.70437440109253,0.0,11.70437440109253,0.13367695058173176,0.0,1.0,5,0,728.0,578.0,5,0,478.2,453.0
G-398,500,5,1868.3778,1855.561,407.20033414200435,11.70437440109253,0.0,11.70437440109253,0.13367695058173176,0.0,1.0,5,0,821.2,807.0,5,0,709.4,707.0
G-658,50,5,41.86,36.052,12.251783592603974,1.8880962747573853,1.7400781074523926,0.14801816730499268,0.15200453434507183,0.1397139827133395,0.073,5,0,696.6,742.0,5,0,167.4,97.0
G-658,100,5,103.53920000000001,44.064,104.91383264450882,1.8910800144195556,1.7409112693786621,0.15016874504089356,0.15222046206118078,0.13945403759278663,0.11,5,0,670.6,626.0,5,0,438.6,91.0
G-658,500,5,459.6976,494.875,311.48677311924496,1.893201374053955,1.7325709681510926,0.16063040590286254,0.15237915158231283,0.13890597776734953,0.0932,5,0,702.8,674.0,5,0,474.2,523.0
G-670,50,5,802.3008,847.157,104.9290057770491,0.0,0.0,0.0,0.0,0.0,0.0,5,0,854.4,817.0,1,4,2066.0,2066.0
G-670,100,5,1671.312,1669.3004999999998,64.96804548006656,0.0,0.0,0.0,0.0,0.0,0.0,5,0,924.8,932.0,0,5,,
G-670,500,5,9177.633000000002,9177.633000000002,5.005000000000109,0.0,0.0,0.0,0.0,0.0,0.0,5,0,863.6,848.0,0,5,,
G-72,50,5,81.1142,53.073,51.30403664196415,5.616185210418701,6.305972191619873,-0.6897869812011719,0.0849262144484958,0.0951700603246599,0.1262,5,0,873.2,1101.0,5,0,208.6,85.0
G-72,100,5,126.16839999999999,108.148,36.147166121841416,5.47542018737793,5.579969721221923,-0.10454953384399414,0.08291228580037431,0.08440130926965783,0.0686,5,0,886.0,1086.0,5,0,200.4,166.0
G-72,500,5,659.4952,809.111,231.5011382213055,5.530098280334473,5.732006967163086,-0.2019086868286133,0.08367033247390362,0.08659090263884597,0.0886,5,0,910.2,932.0,5,0,272.2,338.0
G-730,50,5,88.3176,87.123,7.114821167113059,4.26062134475708,2.3546097480773924,1.9060115966796876,0.06496015996114263,0.03709825338543757,0.1792,5,0,806.4,900.0,5,0,496.0,497.0
G-730,100,5,248.9316,244.326,38.36917957215139,4.368456346130371,2.3618835075378417,2.0065728385925294,0.0665833445639674,0.03719479944735063,0.19,5,0,764.0,877.0,5,0,969.0,960.0
G-730,500,5,1737.071,1924.814,531.4444915736732,4.410721898651123,2.354998829650879,2.055723069000244,0.06721261417738397,0.03710355930898384,0.1934,5,0,752.0,745.0,5,0,1396.2,1560.0
G-784,50,5,303.2214,287.406,127.62757648032027,12.062506365966797,1.1039952339172363,10.95851113204956,0.18451642288192352,0.01741223385112962,0.9802,5,0,665.2,772.0,5,0,1041.8,962.0
G-784,100,5,442.00600000000003,516.71,203.78022570504726,12.034887586212157,1.1209423706054686,10.91394521560669,0.18408464305014252,0.017679028150180517,0.978,5,0,740.8,784.0,5,0,796.6,934.0
G-784,500,5,3385.8044,3766.119,1069.0545913161964,12.063409986114502,1.0818688163757324,10.981541169738769,0.18455455317963146,0.017067595520229625,0.982,5,0,661.0,652.0,5,0,1206.2,1354.0
G-79,50,5,84.0038,107.369,33.10283661198841,3.8295802724838257,4.690107556152344,-0.860527283668518,0.11215361884270324,0.13494559545127144,0.0814,5,0,739.6,741.0,5,0,392.0,558.0
G-79,100,5,131.218,133.194,53.23465643732474,3.606918895149231,4.954568992233276,-1.3476500970840455,0.10629000473560121,0.1419866954001268,0.1216,5,0,698.0,797.0,5,0,357.4,355.0
G-79,500,5,605.9916,576.79,148.51274088993173,3.497818851661682,4.883885898590088,-1.3860670469284058,0.10333148371351057,0.13998439366521287,0.1444,5,0,640.6,674.0,5,0,388.2,367.0
G-836,50,5,36.2512,36.053,0.4029393999102109,9.612622486114502,9.665433653259278,-0.05281116714477539,0.15059294257271744,0.15156847819739935,0.0132,5,0,402.4,402.0,5,0,40.8,41.0
G-836,100,5,42.8582,43.059,0.7433161911326838,9.612622486114502,9.662386972045898,-0.049764485931396485,0.15059294257271744,0.1515098266394297,0.0126,5,0,457.0,489.0,5,0,44.2,44.0
G-836,500,5,87.9172,85.109,4.720069126612447,9.612622486114502,9.681847811889648,-0.06922532577514648,0.15059294257271744,0.15182922563878723,0.014,5,0,468.0,491.0,5,0,40.8,39.0
G-927,50,5,248.33599999999998,295.419,95.459255955617,9.666932521057129,1.7473475090026855,7.919585012054443,0.13691312238707953,0.025696052859161496,0.8536,5,0,660.2,620.0,2,3,1544.5,1544.5
G-927,100,5,484.457,581.81,198.6841145486976,9.669430381774902,1.8699490730285644,7.799481308746338,0.136940229758459,0.027434344560480425,0.8404,5,0,634.2,579.0,1,4,287.0,287.0
G-927,500,5,3743.37,3802.329,92.65661008692254,9.688916022491455,1.3375221221923828,8.351393900299072,0.13722451517270257,0.019835707373249748,0.9,5,0,726.2,761.0,0,5,,
G-970,50,5,535.1444,492.662,274.02576213896384,18.156305019378664,12.909898249053954,5.2464067703247075,0.15419075797853682,0.11052907567793017,0.33080000000000004,5,0,813.4,808.0,5,0,1537.2,1353.0
G-970,100,5,1103.1082,1070.497,472.12067326369004,18.156305019378664,11.743549808502197,6.4127552108764645,0.15419075797853682,0.10061543722164326,0.3958,5,0,841.8,833.0,5,0,1604.0,1569.0
G-970,500,5,6939.0307999999995,6638.221,1520.6990188982697,18.156305019378664,10.762968542480468,7.3933364768981935,0.15419075797853682,0.09236031169229512,0.459,5,0,763.0,776.0,5,0,2072.2,1928.0
