job_id,topology_id,regime,protocol,data_seed,sample_size,training_size,validation_size,trainer_train_size_arg,max_epochs,early_stop_patience,early_stop_min_delta,status,two_stage_status,spoplus_status,evaluation_status,runtime_seconds,runtime_source,test_gap_2stage,test_gap_spoplus,test_gap_improvement,test_normalized_gap_2stage,test_normalized_gap_spoplus,fraction_improved_over_2stage,two_stage_selected_epoch,spoplus_selected_epoch,two_stage_best_epoch,two_stage_stop_epoch,two_stage_stopped_early,two_stage_hit_max_epoch,two_stage_best_value,spoplus_best_epoch,spoplus_stop_epoch,spoplus_stopped_early,spoplus_hit_max_epoch,spoplus_best_value,test_hash,train_prefix_hash,validation_hash,job_dir
G-124|step2c_poly_d8_mult_eps050|seed=000102|sample_size=500|train=400,G-124,step2c_poly_d8_mult_eps050,screen,102,500,400,100,400,3000,20,0.0001,success,success,success,success,489.664,formal_launcher_log,12.112239330291748,12.544763332366943,-0.4325240020751953,0.12268647482774395,0.1270666383750665,0.0,755,131,755,775,True,False,17.490943714379135,131,151,True,False,21.461336107261516,257d28cffe2b2cb7529d8779fa5fc8123912356cca496fd330d7197bf3a9c2c7,bf754c4e7b88349853dbdc21cced94532548cf6948dea87e728f226fddbd97a8,c8781051e86d3d5f7244e494a883ad7d04f3defd21fb927495884b5f4007e853,/local1/fuweik/UdeM-Intern/surrogate_experiment_results/Step3/K18_analysis/experiment_01_budget4to1/results/formal_270_full_epoch_20260626/jobs/step2c_poly_d8_mult_eps050/G-124/data_seed=000102/sample_size=500
G-124|step2c_poly_d8_mult_eps050|seed=000103|sample_size=050|train=040,G-124,step2c_poly_d8_mult_eps050,screen,103,50,40,10,40,3000,20,0.0001,success,success,success,success,76.117,formal_launcher_log,12.08715704727173,12.541640430450439,-0.45448338317871095,0.12242050576581003,0.1270359099540268,0.0,778,126,778,798,True,False,16.791635691140304,124,144,True,False,26.042653319979102,257d28cffe2b2cb7529d8779fa5fc8123912356cca496fd330d7197bf3a9c2c7,2648459e2f2969a6aa9da40bee37eb27ffc8ce48bb639372e56094dd462dbf75,0d77202feec3a9d10798e4d137df9d5bab64b0c31693991e780cf24089f8bdd3,/local1/fuweik/UdeM-Intern/surrogate_experiment_results/Step3/K18_analysis/experiment_01_budget4to1/results/formal_270_full_epoch_20260626/jobs/step2c_poly_d8_mult_eps050/G-124/data_seed=000103/sample_size=050
G-124|step2c_poly_d8_mult_eps050|seed=000103|sample_size=100|train=080,G-124,step2c_poly_d8_mult_eps050,screen,103,100,80,20,80,3000,20,0.0001,success,success,success,success,110.151,formal_launcher_log,12.101050640106202,12.563860034942627,-0.4628093948364258,0.12257070668295438,0.12724760369078486,0.0,944,111,944,964,True,False,17.31324743709006,109,129,True,False,26.456259219301906,257d28cffe2b2cb7529d8779fa5fc8123912356cca496fd330d7197bf3a9c2c7,206bb1381cc8b4a7053c47f2b08a0f44d859b8b93c93bea5d6e70c169e2362a7,520ac1dfa1a623a6b9cdb57351f8232db1f4ece26095bd1d70920e7c94780456,/local1/fuweik/UdeM-Intern/surrogate_experiment_results/Step3/K18_analysis/experiment_01_budget4to1/results/formal_270_full_epoch_20260626/jobs/step2c_poly_d8_mult_eps050/G-124/data_seed=000103/sample_size=100
G-124|step2c_poly_d8_mult_eps050|seed=000103|sample_size=500|train=400,G-124,step2c_poly_d8_mult_eps050,screen,103,500,400,100,400,3000,20,0.0001,success,success,success,success,475.648,formal_launcher_log,12.112239330291748,12.544763332366943,-0.4325240020751953,0.12268647482774395,0.1270666383750665,0.0,795,127,795,815,True,False,18.040690763629986,125,145,True,False,23.307173883305328,257d28cffe2b2cb7529d8779fa5fc8123912356cca496fd330d7197bf3a9c2c7,a926505e0bd9c6b3277c25b28225c91c10c2e4e879f80ff5bd6877d31784b6dc,0ce0524199d7557310d0fd59290927634b05385a2f2d9ceaffc69bdd7f14a6ad,/local1/fuweik/UdeM-Intern/surrogate_experiment_results/Step3/K18_analysis/experiment_01_budget4to1/results/formal_270_full_epoch_20260626/jobs/step2c_poly_d8_mult_eps050/G-124/data_seed=000103/sample_size=500
G-124|step2c_poly_d8_mult_eps050|seed=000104|sample_size=050|train=040,G-124,step2c_poly_d8_mult_eps050,screen,104,50,40,10,40,3000,20,0.0001,success,success,success,success,84.106,formal_launcher_log,12.112239330291748,12.544763332366943,-0.4325240020751953,0.12268647482774395,0.1270666383750665,0.0,687,157,687,707,True,False,20.47106192750899,157,177,True,False,25.567470106734355,257d28cffe2b2cb7529d8779fa5fc8123912356cca496fd330d7197bf3a9c2c7,965ea7448662659973445d0795105af46b703eac3f5e625996980d1034adf263,2499b1c738bacf046bc5b086750b93d87560b2be869c72e5055b8cc99a806c30,/local1/fuweik/UdeM-Intern/surrogate_experiment_results/Step3/K18_analysis/experiment_01_budget4to1/results/formal_270_full_epoch_20260626/jobs/step2c_poly_d8_mult_eps050/G-124/data_seed=000104/sample_size=050
G-124|step2c_poly_d8_mult_eps050|seed=000104|sample_size=100|train=080,G-124,step2c_poly_d8_mult_eps050,screen,104,100,80,20,80,3000,20,0.0001,success,success,success,success,114.157,formal_launcher_log,12.112239330291748,12.56404543685913,-0.4518061065673828,0.12268647482774395,0.127249366847492,0.0,721,119,721,741,True,False,19.733940109338757,118,138,True,False,26.443681402957584,257d28cffe2b2cb7529d8779fa5fc8123912356cca496fd330d7197bf3a9c2c7,d9df910c1e6db32ae049a2b84b54e379ee457fd1f8980135278efd2b0c14731e,09d25610a2dcc2f52b27a84dcd22313e81e7a9347f36c40d77fc5a404ee33019,/local1/fuweik/UdeM-Intern/surrogate_experiment_results/Step3/K18_analysis/experiment_01_budget4to1/results/formal_270_full_epoch_20260626/jobs/step2c_poly_d8_mult_eps050/G-124/data_seed=000104/sample_size=100
G-124|step2c_poly_d8_mult_eps050|seed=000104|sample_size=500|train=400,G-124,step2c_poly_d8_mult_eps050,screen,104,500,400,100,400,3000,20,0.0001,success,success,success,success,603.822,formal_launcher_log,12.112239330291748,12.56404543685913,-0.4518061065673828,0.12268647482774395,0.127249366847492,0.0,807,163,807,827,True,False,18.057965690023323,162,182,True,False,23.29285344873212,257d28cffe2b2cb7529d8779fa5fc8123912356cca496fd330d7197bf3a9c2c7,2c6e2302be6eeed7bbfff4b3442f263bbff5f1b058f021a217df7f888889db49,8978f4a5a498fe29ce0be5f17669330f8ebf7aaccd6db62e10434285f5c1ee44,/local1/fuweik/UdeM-Intern/surrogate_experiment_results/Step3/K18_analysis/experiment_01_budget4to1/results/formal_270_full_epoch_20260626/jobs/step2c_poly_d8_mult_eps050/G-124/data_seed=000104/sample_size=500
G-124|step2c_poly_d8_mult_eps050|seed=000105|sample_size=050|train=040,G-124,step2c_poly_d8_mult_eps050,screen,105,50,40,10,40,3000,20,0.0001,success,success,success,success,70.093,formal_launcher_log,12.112239330291748,12.493243793487549,-0.3810044631958008,0.12268647482774395,0.12652532250518667,0.0,702,107,702,722,True,False,17.348191365425098,107,127,True,False,22.36845382761071,257d28cffe2b2cb7529d8779fa5fc8123912356cca496fd330d7197bf3a9c2c7,71bf44470be1ad7b0b7d8e248be064a9e0ad4f8cfc306eac0289a7ae3b90f6bc,f62006825644b447e3dcc0c4dac2831496d96593361afe52440b525328725d10,/local1/fuweik/UdeM-Intern/surrogate_experiment_results/Step3/K18_analysis/experiment_01_budget4to1/results/formal_270_full_epoch_20260626/jobs/step2c_poly_d8_mult_eps050/G-124/data_seed=000105/sample_size=050
G-124|step2c_poly_d8_mult_eps050|seed=000105|sample_size=100|train=080,G-124,step2c_poly_d8_mult_eps050,screen,105,100,80,20,80,3000,20,0.0001,success,success,success,success,139.181,formal_launcher_log,12.112239330291748,12.493243793487549,-0.3810044631958008,0.12268647482774395,0.12652532250518667,0.0,752,154,752,772,True,False,17.135266245748582,158,178,True,False,23.942453059519433,257d28cffe2b2cb7529d8779fa5fc8123912356cca496fd330d7197bf3a9c2c7,d69d7855e61eaa42c1055f0e7ed34bd59b90d93981150a7b7752ad9222f20d1c,8fcb4525e6c3c12e9ef0c7ca944116441bd44a91a80a304d1165b2e4ecd3d642,/local1/fuweik/UdeM-Intern/surrogate_experiment_results/Step3/K18_analysis/experiment_01_budget4to1/results/formal_270_full_epoch_20260626/jobs/step2c_poly_d8_mult_eps050/G-124/data_seed=000105/sample_size=100
G-124|step2c_poly_d8_mult_eps050|seed=000105|sample_size=500|train=400,G-124,step2c_poly_d8_mult_eps050,screen,105,500,400,100,400,3000,20,0.0001,success,success,success,success,604.828,formal_launcher_log,12.112239330291748,12.544763332366943,-0.4325240020751953,0.12268647482774395,0.1270666383750665,0.0,890,163,890,910,True,False,17.523618361994014,162,182,True,False,22.770513057715995,257d28cffe2b2cb7529d8779fa5fc8123912356cca496fd330d7197bf3a9c2c7,13aeef8ba1eb1760b6a8309d94bf73617668f3ce2c288e1cb7580206fc8805e5,dfea94c8e03fe7ae60d4b90a349c556c4cf890616bb3a110bc6fff72e43669ac,/local1/fuweik/UdeM-Intern/surrogate_experiment_results/Step3/K18_analysis/experiment_01_budget4to1/results/formal_270_full_epoch_20260626/jobs/step2c_poly_d8_mult_eps050/G-124/data_seed=000105/sample_size=500
