selection_rank,topology_id,train_seed_count,success_count,failed_count,positive_seed_count,zero_seed_count,negative_seed_count,win_rate,loss_rate,mean_2stage_gap,median_2stage_gap,mean_spoplus_gap,median_spoplus_gap,mean_spoplus_improvement_gap,median_spoplus_improvement_gap,min_spoplus_improvement_gap,max_spoplus_improvement_gap,mean_runtime_seconds,median_runtime_seconds,max_runtime_seconds,complexity_bin,structural_type,landscape_regime,screening_score,selection_reason,num_exchange_candidates,num_cycles_total,num_3cycles,num_chains_total,candidate_conflict_density,mean_candidates_per_vertex,num_distinct_oracle_solutions,oracle_solution_entropy,dominant_oracle_solution_fraction,fraction_linear_proxy_differs_from_oracle,mean_linear_proxy_normalized_gap_to_oracle,median_top1_top2_margin,mean_pairwise_oracle_jaccard
61,G-206,5,5,0,0,0,5,0.000000,1.000000,4.129109,4.128161,5.656486,5.657274,-1.527377,-1.529113,-1.530398,-1.523753,115.253600,103.652000,145.766000,medium_rich,cycle_chain,proxy_hard,0.82772799,quota_medium_rich:cycle_chain:proxy_hard,29,6,2,23,0.9334975369458128,4.954545454545454,9,1.8312179529654316,0.31,0.9,0.14728238249173822,0.8301000000000016,0.42074651274651276
62,G-757,5,5,0,4,0,1,0.800000,0.200000,33.289386,33.191448,22.365745,18.863558,10.923640,14.306291,-0.213895,14.915205,286.931000,255.340000,558.919000,medium_rich,chain_only,proxy_hard,0.73368827,quota_medium_rich:chain_only:proxy_hard,29,0,0,29,0.6379310344827587,3.772727272727273,8,1.3211157315568038,0.5,0.98,0.4116180336813719,0.6853499999999926,0.5573302068302068
63,G-723,5,5,0,0,5,0,0.000000,0.000000,2.221028,2.221028,2.221028,2.221028,0.000000,0.000000,0.000000,0.000000,278.985600,220.801000,411.413000,medium_rich,cycle_chain,high_variance,0.63900285,quota_medium_rich:cycle_chain:high_variance,39,5,2,34,0.7584345479082322,6.818181818181818,7,1.450234701540738,0.51,0.49,0.02859924386898499,1.2732499999999973,0.594939417484872
64,G-60,5,5,0,0,5,0,0.000000,0.000000,3.313616,3.313616,3.313616,3.313616,0.000000,0.000000,0.000000,0.000000,366.055000,345.143000,476.953000,medium_rich,chain_only,high_variance,0.55747772,quota_medium_rich:chain_only:high_variance,38,0,0,38,0.7439544807965861,5.818181818181818,8,1.5070338147316533,0.54,0.46,0.0472457457670529,2.2164500000000054,0.5775810485810485
65,G-625,5,5,0,0,5,0,0.000000,0.000000,2.574118,2.574118,2.574118,2.574118,0.000000,0.000000,0.000000,0.000000,550.708800,614.907000,789.988000,medium_rich,cycle_chain,neutral,0.50666446,quota_medium_rich:cycle_chain:neutral,23,2,1,21,0.9288537549407114,3.909090909090909,2,0.6768585467349507,0.59,0.41,0.03687573899034338,0.9288499999999971,0.7556565656565657
66,G-100,5,5,0,3,0,2,0.600000,0.400000,0.355114,0.355114,0.346141,0.345009,0.008973,0.010105,-0.012069,0.028802,248.219600,252.426000,279.507000,medium_rich,chain_only,neutral,0.37441717,quota_medium_rich:chain_only:neutral,27,0,0,27,0.8917378917378918,4.363636363636363,2,0.6474466390346325,0.65,0.35,0.006533061989327432,1.3587999999999951,0.8468013468013468
67,G-31,5,5,0,0,5,0,0.000000,0.000000,0.039749,0.039749,0.039749,0.039749,0.000000,0.000000,0.000000,0.000000,134.874600,143.530000,166.095000,medium_rich,cycle_chain,proxy_aligned,0.33841244,quota_medium_rich:cycle_chain:proxy_aligned,40,4,1,36,0.9115384615384615,6.7272727272727275,2,0.13474216817976675,0.97,0.03,0.0009791851207279084,1.3425000000000047,0.9664069264069264
68,G-204,5,5,0,0,5,0,0.000000,0.000000,0.128954,0.128954,0.128954,0.128954,0.000000,0.000000,0.000000,0.000000,314.412800,340.186000,392.210000,medium_rich,chain_only,proxy_aligned,0.25820619,quota_medium_rich:chain_only:proxy_aligned,32,0,0,32,0.6995967741935484,4.5,2,0.30253782309749805,0.91,0.09,0.0031291616747764314,0.7404000000000011,0.9290909090909091
69,G-595,5,5,0,0,5,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,345.111200,332.707000,431.552000,medium_rich,cycle_chain,easy_control,0.29450069,quota_medium_rich:cycle_chain:easy_control,32,2,1,30,0.9112903225806451,5.363636363636363,1,0.0,1.0,0.0,0.0,0.4423500000000047,1.0
70,G-912,5,5,0,0,5,0,0.000000,0.000000,0.014793,0.014793,0.014793,0.014793,0.000000,0.000000,0.000000,0.000000,418.219400,407.182000,479.481000,medium_rich,chain_only,easy_control,0.19469788,quota_medium_rich:chain_only:easy_control,35,0,0,35,0.8907563025210085,5.181818181818182,1,0.0,1.0,0.0,0.0,3.009149999999998,1.0
71,G-740,5,5,0,5,0,0,1.000000,0.000000,9.985520,9.985520,9.086812,9.064664,0.898708,0.920856,0.788301,0.943530,92.582800,92.859000,133.688000,medium_rich,cycle_chain,proxy_hard,0.8050817,quota_medium_rich:cycle_chain:proxy_hard,30,3,0,27,0.7885057471264367,4.545454545454546,9,1.6299666549760814,0.38,0.98,0.26707358688972477,0.645900000000001,0.4893523328523328
72,G-836,5,5,0,0,0,5,0.000000,1.000000,9.432152,9.433576,9.515160,9.510132,-0.083008,-0.085620,-0.089128,-0.070601,42.861800,42.512000,43.703000,medium_rich,chain_only,proxy_hard,0.71216285,quota_medium_rich:chain_only:proxy_hard,39,0,0,39,0.6329284750337382,5.590909090909091,9,1.6316135710535047,0.34,0.71,0.10966816268123449,0.08229999999999293,0.4318555395222062
73,G-117,5,5,0,0,5,0,0.000000,0.000000,0.783701,0.783701,0.783701,0.783701,0.000000,0.000000,0.000000,0.000000,284.759200,276.117000,390.494000,medium_rich,cycle_chain,high_variance,0.62604323,quota_medium_rich:cycle_chain:high_variance,32,4,3,28,0.9495967741935484,5.363636363636363,7,1.4719682593255339,0.52,0.48,0.02410571514096325,0.8240500000000015,0.6544175084175085
74,G-21,5,5,0,5,0,0,1.000000,0.000000,2.114951,2.114951,2.097999,2.111260,0.016952,0.003691,0.003691,0.047461,226.904200,259.317000,270.520000,medium_rich,chain_only,high_variance,0.52078956,quota_medium_rich:chain_only:high_variance,27,0,0,27,0.7207977207977208,3.8636363636363638,7,1.2524163202633891,0.55,0.45,0.049126965870347934,1.7344500000000025,0.5274539041205708
75,G-84,5,5,0,0,5,0,0.000000,0.000000,1.384310,1.384310,1.384310,1.384310,0.000000,0.000000,0.000000,0.000000,140.358200,124.634000,178.223000,medium_rich,cycle_chain,neutral,0.50226796,quota_medium_rich:cycle_chain:neutral,29,1,0,28,0.8497536945812808,4.363636363636363,3,0.7994752252479101,0.66,0.34,0.03306547112683403,0.18054999999999843,0.662972582972583
76,G-207,5,5,0,0,5,0,0.000000,0.000000,0.347647,0.347647,0.347647,0.347647,0.000000,0.000000,0.000000,0.000000,440.153000,329.806000,911.545000,medium_rich,chain_only,neutral,0.35128295,quota_medium_rich:chain_only:neutral,24,0,0,24,0.6702898550724637,3.1363636363636362,3,0.7262795138741637,0.73,0.27,0.005339808395290456,0.31250000000000355,0.8626839826839827
77,G-94,5,5,0,0,5,0,0.000000,0.000000,0.481204,0.481204,0.481204,0.481204,0.000000,0.000000,0.000000,0.000000,187.139600,109.459000,412.346000,medium_rich,cycle_chain,proxy_aligned,0.32263203,quota_medium_rich:cycle_chain:proxy_aligned,32,1,0,31,0.8709677419354839,4.909090909090909,3,0.3598240982440312,0.91,0.09,0.0031853058749539303,2.077349999999999,0.8756228956228956
78,G-269,5,5,0,5,0,0,1.000000,0.000000,15.524769,15.527555,0.241570,0.241570,15.283199,15.285984,15.265367,15.292673,256.882200,270.768000,284.498000,medium_rich,chain_only,proxy_aligned,0.24132074,quota_medium_rich:chain_only:proxy_aligned,40,0,0,40,0.8666666666666667,6.909090909090909,2,0.13474216817976675,0.97,0.03,0.0015491932999530565,8.026349999999994,0.951010101010101
79,G-339,5,5,0,0,5,0,0.000000,0.000000,0.000628,0.000628,0.000628,0.000628,0.000000,0.000000,0.000000,0.000000,930.463800,907.176000,1132.310000,medium_rich,cycle_chain,easy_control,0.29037279,quota_medium_rich:cycle_chain:easy_control,35,3,1,32,0.8773109243697479,5.7272727272727275,1,0.0,1.0,0.0,0.0,1.0450500000000034,1.0
80,G-408,5,5,0,0,5,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,141.954600,150.416000,176.801000,medium_rich,chain_only,easy_control,0.14076528,quota_medium_rich:chain_only:easy_control,21,0,0,21,0.861904761904762,3.3181818181818183,1,0.0,1.0,0.0,0.0,13.689450000000004,1.0
81,G-79,5,5,0,0,0,5,0.000000,1.000000,3.303365,3.287968,4.853708,4.900435,-1.550343,-1.497008,-1.763235,-1.377367,128.252600,127.721000,145.719000,medium_rich,cycle_chain,proxy_hard,0.79193961,quota_medium_rich:cycle_chain:proxy_hard,27,2,1,25,0.9458689458689459,4.181818181818182,7,1.6536652422639313,0.35,0.81,0.13113924106336936,1.3976000000000006,0.4283520923520924
82,G-992,5,5,0,5,0,0,1.000000,0.000000,5.210549,5.210549,3.981176,3.909518,1.229373,1.301031,0.893130,1.357827,339.565800,331.725000,448.961000,medium_rich,chain_only,proxy_hard,0.69511533,quota_medium_rich:chain_only:proxy_hard,36,0,0,36,0.7476190476190476,4.954545454545454,6,1.2905347270361203,0.51,0.76,0.10951352599077203,1.4556000000000004,0.6294372294372295
83,G-479,5,5,0,0,5,0,0.000000,0.000000,2.340105,2.340105,2.340105,2.340105,0.000000,0.000000,0.000000,0.000000,284.162000,267.330000,390.947000,medium_rich,cycle_chain,high_variance,0.57949538,quota_medium_rich:cycle_chain:high_variance,30,1,0,29,0.8091954022988506,4.136363636363637,4,1.2049027387772113,0.51,0.49,0.03452653888398529,1.3410000000000082,0.5821813371813371
84,G-463,5,5,0,5,0,0,1.000000,0.000000,0.625290,0.625209,0.622564,0.622483,0.002726,0.002726,0.001343,0.003620,75.254600,77.542000,79.793000,medium_rich,chain_only,high_variance,0.46212691,quota_medium_rich:chain_only:high_variance,39,0,0,39,0.9176788124156545,6.545454545454546,4,0.9196505028071175,0.69,0.31,0.009261137980745475,0.9791500000000042,0.7701010101010101
